text,score,T20_type,team,label
"What a game. Both sides had a sniff at a win once, both sides seemed to have bungled the advantage once, but both recovered.. New Zealand just enough to snatch home a 2-0 series win in the Chappell-Hadlee Trophy. 281 was an about-par score lacking intimidation, and at 44/0, Australia seemed to be on course Boult picked two in an over - eighth of the innings - and then Williamson's spell graduated into Australia's doom. He went for 11 runs in his first over, seven in the next, and then had a well-set Finch in his third. And from thereon, every over was an advocation of Williamson's immense self-belief and in his Sodhi's non-selection on a pitch expected to be slow.",New Zealand won by 24 runs, ODI,New Zealand vs Australia,4
"A typical T20 chase. More drama towards the back end, but eventually the better side emerged victorious. Tharanga's dismissal in the first over didn't dent the confidence of the youngsters; at least in terms of experience. Dickwella, Munaweera, Gunaratne went all guns blazing and piled almost 70 percent of the target. The rest of the total was all about holding your nerve and cruising past the finishing line. Any T20 game would be boring without a few jittery moments. Australia did create a few, thanks to Ashton Turner and Andrew Tye, but the young Lankan side had the final laugh.",Sri Lanka won by 5 wkts, T20,Australia vs Sri Lanka,4
"What a game this turned out to be. 5-1.. 22-2.. 27-3.. 40-4.. 40-5.. inside the fifth over and Sri Lanka have managed to pull off a win from there, gee! Let's be honest: on a pitch that was holding up right through, a target of 174 was above par. But then again, Sri Lanka are going through one of the phases that feels like Meryl Streep's Hollywood career. They just find ways to make a mark, and win. Kudos to Gunaratne for walking in when the match looked lost, persevering and timing the big hits when most people surrender to their nerves and give up. 50 runs were scored off the last three overs and an innings of 84 off 46 from Gunaratne took Sri Lanka to a mighty good series win. Great follow-up to the one in South Africa. Fun fact: Australia have never beaten Sri Lanka in a T20I on their home soil",Sri Lanka won by 2 wkts, T20,Australia vs Sri Lanka,5
"Dominant performance from the hosts. They were at it right from the start. Never allowed the Afghan innings to flourish; were definitely helped by the bouts of rain that hampered the momentum of tourists, if there were any. Coming into bat, there were not any hiccups. They got to a good start and despite a couple of wickets at the fag end, were able to get to the finish-line with ease.",Zimbabwe won by 7 wkts, ODI,Zimbabwe vs Afghanistan,2
"A big win for Afghanistan rounds up their third series win in Zimbabwe. The series was nicely poised at 2-2, with hosts boasting of all the momentum with two back-to-back wins. The Harare Sports Club was choked with people, only for Zimbabwe to yield to Afghanistan. And rains. And how! After Afghanistan's 253, rains arrived to delay the second innings and the revised target for Zimbabwe happened to be 161 off 22 overs, something which proved too tall. Dawlat Zadran and Amir Hamza ran riot at the top of the order, Zimbabwe panicked and lost the rest of the wickets to brain fog.",Afghanistan won by 106 runs (D/L method), ODI,Zimbabwe vs Afghanistan,3
"Phehlukwayo could pull it off the other day but today things were a little different. For most part of his innings, he was under the shadow of some mind-boggling hitting from Pretorius. But once Pretorius departed, things became a little too difficult for the tourists. Great come back from New Zealand. Having put just enough runs on the board, they got some early wickets but it was only when they got rid of Miller and ABD in quick succession, things started looking bright for them. However, before they could settle in, South Africa counterattacked to signal that the game was not over. In the end it required a classic over from Boult to seal the deal for the hosts.",New Zealand won by 6 runs, ODI,New Zealand vs South Africa,5
"Martin Guptill's comebacks make for great stories. This is another one. Replaced Latham at the top of the order and smacked 180* off just 138 balls - the highest ODI score by a New Zealand batsman against South Africa and the second highest individual score at Hamilton. This innings has been a treat to watch. He's been lucky but to play an innings like that, on a pitch as slow as this, takes something. Sometimes, you have to stand and applaud.",New Zealand won by 7 wkts, ODI,New Zealand vs South Africa,3
"A massive win. At the halfway mark, New Zealand looked favourites after restricting South Africa to 185/6. But then, Morris feasted on Glenn Phillips' debut nerves, bowling a double-wicket maiden to derail the chase in the very beginning, and some stubborn lack of application by the middle order caught New Zealand by surprise in the only T20I. Tahir, the World No. 1, had a five-for to his name and Phehlukwayo chipped in with three timely wickets: Williamson, Anderson and Santner.",South Africa won by 78 runs, T20,New Zealand vs South Africa,4
"Smiles all round. Bangladesh deserve this. They really do. They have out-batted, out-bowled and out-fielded Sri Lanka. Chasing 325 was always going to be an arduous task. Mortaza got Bangladesh off to a dream start, prising out Gunathilaka in the first over of the innings. Mendis and Tharanga followed him soon. Chandimal and Gunaratne steadied the ship for a while but the latter couldn't convert his start. Chandimal waged a lone battle but lost his wicket trying to up the ante. Thisara Perera struck some lusty blows towards the end but the ever mounting run-rate proved to be a demon and devoured the hosts. Earlier, on the back of Tamim's century and fifties from Shakib and Sabbir propelled Bangladesh to 324. They backed up their batsmen with some disciplined bowling and romped home with ease in the end.",Bangladesh won by 90 runs, ODI,Sri Lanka vs Bangladesh,3
"Sri Lanka level the series and also end their winless run of 7 matches in ODIs. They were the hungrier team today, right from the start of the match when Tharanga and Gunathilaka delivered a brisk start. Bangladesh clawed back in during the middle stages but Thisara Perera's fifty ensured a very competitive total of 280. That total started to look very big as Bangladesh were reduced to 11/3 with Kulasekara and Lakmal bowling splendidly well. Shakib and Sarkar entertained a brief counter-attack but once that was quelled, there was a flurry of wickets. Dilruwan Perera and Seekuge Prasanna found enough turn in the pitch to be brave enough to toss it up and wrecked Bangladesh's hopes. The match was killed halfway during the chase. Mehedi Hasan impressed lower down but it was always going to be in a losing cause. With this, Sri Lanka preserve the record of never losing an ODI series to Bangladesh.",Sri Lanka won by 70 runs, ODI,Sri Lanka vs Bangladesh,3
"West Indies were in the game but once Carlos Brathwaite was out in the 45th over, with West Indies needing 73 off 34 balls, the hosts lost out on an outside chance as well. Ben Stokes didn't bowl at all in the innings, but on a pitch where spinners should have thrived, Woakes and Plunkett shared eight wickets between them. West Indies looked the most comfortable when Rashid and Moeen bowled in tandem, but once the pacers took over, again, wickets fell - some to panic, some to sheer pace, or the lack of it.", England won by 45 runs, ODI,Windies vs England,4
"West Indies did look favourites once, when England lost 4 for 16. Morgan, Stokes, Buttler and Moeen were the wickets to fall in a heap but Holder erred in bowling out his spinners Bishoo and Nurse - the two responsible for the mid-innings collapse - as early as the 29th over, and then happened to be sheer unlucky in losing Gabriel to a side strain. Only three overs from his premier fast bowler didn't help, and so didn't dropped catches - some tough, some not so much. The pitch was turning big but Woakes and Root piled on an unbeaten 102-run stand for the sixth wicket and sailed England to a series win with a match to go.",England won by 4 wkts, ODI,Windies vs England,4
"Ireland will derive a lot of satisfaction from this win. After repeated collapses from the middle order during run-chases on this tour, they have finally managed to find a fix. Stirling played wonderfully well for his 99 to set the chase up, but his dismissal at a crucial juncture gave the sense that the same script would unfold all over again. It wasn't to be. Balbirnie was having none of it. The key to Ireland's success lay in how they kept Rashid Khan at bay. The leg-spinner, who previously spun circles around the Ireland batsmen, went wicketless today. The use of the sweep against him, especially from Balbirnie, stood out. When not sweeping, they played him late and nudged him around for singles. Once his threat was negated, the pitch was good enough for the target to be achieved comfortably. With this, Ireland stay alive in the ODI series.",Ireland won by 6 wkts, ODI,Afghanistan vs Ireland,3
"What a turnaround from Afghanistan! With this, they extend their winning streak in T20Is to 10 matches and also seal this series with a game to spare. The rain break might have disrupted Ireland's momentum, but take nothing away from Rashid Khan. The 18-year-old leg-spinner ran through the Irish middle and lower order to take a five-for inside two overs. It was his googly which did most of the damage as the panic-stricken batsmen failed to pick anything out of the hand.",Afghanistan won by 17 runs, T20,Afghanistan vs Ireland,5
"Afghanistan's winning streak lives on. They have now won 11 T20Is in a row. The match was set up with the bat; with Nabi and Shahzad registering brilliant performances. 234 was always going to be improbable. Credit to Ireland though for showing a lot of fight. Their openers, Stirling and Thompson, gave them a flier and propelled them ahead of the rate. But what Ireland really needed was for one of them to bat right through. That wasn't to be. Afghanistan kept chipping away at the wickets at crucial times which ensured that they were in control after the 10-over mark despite a valiant fifty from Wilson. Rashid Khan impressed once again by proving to be economical and wrapping it up towards the end with a triple-strike.",Afghanistan won by 28 runs, T20,Afghanistan vs Ireland,4
"What a turnaround for West Indies. Their bowlers set up the platform, restricting Pakistan to a meagre 137. And then their batsman - Evin Lewis never gave a whiff to the visitors with his belligerent 91. Rest of the batsmen played second fiddle to him. Lewis though fell at the doorstep of victory and it was Simmons, who applied the finishing touches, helping his side romp home with 37 balls to spare. West Indies have thrown life into this series now with this win. A rare off-day for Sarfraz and his boys. Must be a humiliating defeat for sure, but they just didn't have enough runs on the board.",West Indies won by 7 wkts, T20,Windies vs Pakistan,2
"An easy outing for the Englishmen who were at the top of the game. They have ticked most boxes today, starting with Adil Rashid who returned his maiden fifer in ODIs. Chasing was never going to be a headache and Hales's fifty made it a cakewalk. Root continues to churn up runs. Remained not-out on 49 and Bairstow provided finishing touches. Ireland have a lot to improve on. They needed to bring their A-game out against the mighty neighbours but could not really kick off after a decent start in the first five overs.",England won by 7 wkts, ODI,England vs Ireland,3
"In the end a comfortable win for South Africa but not before it exposed their inability to handle the ball when it does something off the track. England were a little complacent coming into the game. Ended up resting a few players and then lost 6 wickets inside 5 overs. From thereon it was always the catching-up game. Willey and Bairstow ensured that they had something to play but that was never enough. And after South Africa got off to a solid start, only formalities were needed. England have tested all their weapons so far. Might have finalized the team they would want to field in the Champions Trophy. Bairstow's innings today will only add to their belief.",South Africa won by 7 wkts, ODI,England vs South Africa,3
"When they decided to bat it was thought to be a brave move, when they somehow crawled to 212.. it was touted as something respectable. But a few hours later, they have had the last laugh. West Indies looked clueless in the chase, were too defensive to begin with and when Rashid Khan came to strike back to back, they were exposed further. Rashid Khan's bowling performance - 8.4-1-18-7 - today is also the 4th best bowling figures in ODIs and it has helped Afghanistan script their own little history.",Afghanistan won by 63 runs, ODI,Windies vs Afghanistan,3
"Is it a win? Well, on papers it surely is. But for a team that restricted the opposition on 135 and then wasted 6 wickets and almost 40 overs to get to the target on a pitch that did not have any demons, it is struggle. A struggle that does not reflect good on their reputation. In hindsight, Afghanistan would think that 50 more runs and they might have sealed the series. The harsh truth is no West Indian seems confident against Rashid Khan and that will be the imperious question worrying them a couple of days from now when they meet the visitors for the final clash.",West Indies won by 4 wkts, ODI,Windies vs Afghanistan,2
"The chase done and dusted without breaking sweat. Ask Marlon Samuels how? He launched himself time and again, taking calculated risks, and in the process produced a man of the match performance. He hit his highest score in T20Is, and not to forget Jason Mohammed's contribution who manoeuvred strike often making sure Samuels doesn't lose his rhythm. Those little things and Afghanistan's shabby fielding meant West Indies maintain a clean slate so far in the tour.",West Indies won by 7 wkts, T20,Windies vs Afghanistan,3
"When bad times reign, you find a way to lose. Sri Lanka had it all figured out, having stumbled their recent nemesis India from an unsurprising 109/0 to a stuttering 131/7. Dananjaya could have been the hero of his own script, having punched holes into India's middle-order experimentation with a six-wicket haul in his first innings against India. And then, Bhuvneshwar happened, matching every defence for an equally impregnable facial guise. His maiden ODI half-century not just distilled India out of an embarrasing loss but ramped them to a win, too, aptly twinning with a fidgety, cluelessly brilliant, innings from the ex-captain himself.",India won by 3 wkts (DLS method), ODI,Sri Lanka vs India,4
"This match, as much as I'd like for it to be otherwise, would probably be remembered for the wrong reasons. But let it not distract from how good this partnership has been. From a position of 61/4, with Dananjaya having struck twice in two overs, it had all the potential to go awry for India. But Rohit Sharma and MS Dhoni have played wonderfully well to make it home at a canter. This is just the knock Rohit needed to get him into the groove for the season ahead, after he was rested from the Windies tour. And Dhoni, how good has he been in these last two games, allowing his partners to thrive with his calming influence at the other end in order to shepherd the team home. Let's not forget about Bumrah too, setting the game up with a five-for. What a series he's having!",India won by 6 wkts, ODI,Sri Lanka vs India,3
"Sri Lanka's chances of direct qualification into 2019 World Cup keeps getting grim with each passing game. While Chasing 375, losing 3 wickets inside 10 overs is the last thing you want. Sri Lanka's batsmen didn't display any application. Except Mathews, no-one showed any intent to spend some time at the crease. A couple of run-outs didn't help their cause either, and as a result, they find themselves on the verge of a whitewash against India.",India won by 168 runs, ODI,Sri Lanka vs India,2
"2-0 to England. West Indies can't win the series from here. It would have taken something really special for them to chase down 370, even with the pitch being as good as it was, and the boundaries being as short as they were. For a brief while, Gayle entertained prospects of producing that 'something special'. But that was before his running between the wickets let him down yet again. The innings didn't take time to disintegrate from there.",England won by 124 runs, ODI,England vs Windies,2
"Match abandoned, England win by DLS. It was literally in the last 20-30 minutes of the game that they robbed it from the West Indies, who would've felt in absolute control after reducing the hosts from 126/0 to 181/5. But Moeen Ali and Jos Buttler stunned them with a brutal onslaught, plundering 51 in the last four overs that were possible. Spare a thought for Alzarri Joseph, who became the youngest Windies fast bowler to take a five-for, and he did it in one spell. Even more so, spare a thought for Evin Lewis, who would have probably coasted to a double-century if he wasn't forced to retire-hurt on 176*. 3-0 to England with a game to go. ",England won by 6 runs (DLS method), ODI,England vs Windies,5
"A really smart turnaround from the Windies, after a forgettable powerplay. They quickly understood that change of pace was the key on this surface, and brought England down to a grinding halt after the Hales onslaught. It was the spinners who turned the tide when Windies were running for cover. Narine and Nurse, between them, took three wickets in three overs soon after they were introduced. The pacers followed suit with an assortment of slower balls, never allowing England to get away even when Bairstow and Buttler were building a little partnership. That pressure eventually got to the hosts and they fell apart towards the end.",Windies won by 21 runs, T20,England vs Windies,4
"Good performance from the Indians. These reduced games always help the team chasing. That wasn't the case today. Well, Australia's revised target was 164 in 21 overs. The visitors never got going in their chase. The Gujarati-duo of Hardik Pandya and Bumrah set the tone early in the innings with the new ball. When three of your top four fall for single digit scores, it'll always be a tough ask for the lower-middle order batsmen. Glenn Maxwell came out all guns blazing and he took special liking to Kuldeep Yadav hitting three successive sixes. However, he was soon scalped by Chahal, who finished with impressive figures: 5-0-30-3. Faulkner in the end tried his best with the bat, but it was too big a task for the Australian all-rounder.","India won by 26 runs (DLS method - reduced to 21 overs due to rain, target 164)", ODI,India vs Australia,3
"India go 2-0 up in the series. Their bowlers have done a fantastic job yet again to convincingly defend a total which was around par, you would imagine. This bowling group is functioning so brilliantly in tandem, with wicket-taking options from top to bottom. Bhuvneshwar Kumar set the tone with a masterclass of swing and seam bowling at the start, swinging circles around the Aussie batsmen and dismissing both openers cheaply. Smith and Head revived the innings for a while, but that was before the wrist-spinners took over again. Arguably, Chahal was the more impressive one with impeccable control over his flight, and he absolutely shackled the middle-order. But then Kuldeep just came back in and claimed a hat-trick for himself. Just shows the luxuries Virat Kohli possesses right now.",India won by 50 runs, ODI,India vs Australia,4
"When the rains came, the match was headed towards a potentially thrilling finish. This looked like the perfect opportunity for Manish Pandey and Kedar Jadhav to rise to the occasion and lift all the scrutiny they've recently been under. While they did impress briefly upon resumption, the duo threw it away and couldn't get the job done. It would be remiss of me to take any credit away from how the Australian pacers pulled things back at the death. Richardson, in particular, was super impressive with the variations in pace and lengths. So Australia have their first ODI win overseas after quite a while. Finch and Warner set it up with the bat, and then their pacers clinched it from a tight spot. They did need a slice of brilliance in the field from their captain to get rid of a fluent Rohit, who would've taken the game away quickly had he stayed any longer. We'll be hearing from him soon enough in the presentations..",Australia won by 21 runs, ODI,India vs Australia,4
"India and their chances were never in doubt. Only rain could have changed the outcome of this game. The game was won in the first innings with bowlers creating all sorts - on a tricky Ranchi pitch - to the Australian batsmen. It seemed as if rain might have the final say after it consumed nearly two hours of play. But once, it relented...India started off the chase with 'skates-on' mode. Two of India's best batsmen in the limited overs were on the extreme ends of a yawning run-chase. Rohit blazed the innings off with a four and Kohli capped with something similar.",India won by 9 wkts (Target 48 in 6 ovs due to rain - DLS method), T20,India vs Australia,3
"Smiles in the Pakistan camp. A perfect all-round performance from Sarfraz and Co. The players exchange handshakes as they walk off the field. This is Pakistan's fifth consecutive win. On the contrary, Sri Lanka's eighth consecutive ODI loss - their worst since 1999. After Pakistan set a target of 293, Lanka were always under the hammer. A ton from Babar and an attacking 81 from Malik had set the tone. The visitors started off on a quick note before Raees nipped out Dickwella and Chandimal. The latter ended up wasting the only review after he was given out LBW. Then the off-spinners took over and wickets continued to fall at regular intervals. Thirimanne complied a half-century and Dananjaya hung in there till the end with an unbeaten 50 - his first in ODIs. But could only reduce the losing margin; It turned out, they couldn't come anywhere close to the target as Pakistan romped home comfortably..",Pakistan won by 83 runs, ODI,Pakistan vs Sri Lanka,3
"Is there a better bowling unit than Pakistan when the surface aids them? Tough one to call. The wicket was two-paced and the ball was hardly coming on to the bat and the spin troika of Hafeez, Shadab and Malik made Sri Lanka submit meekly. The combined bowling figures read: 23-1-88-5. Dickwella and Mendis fell early to the pacers. Tharanga and Thirimanne defied proceedings with a dodgy stand, once that was broken the floodgates opened and the slide turned into a procession. The Sri Lankan skipper kept his side in the game with a scratchy hundred and 76-run 8th wicket stand but ran out of partners. At the end, he remained unbeaten and in the process became the first Sri Lankan opener to carry his bat in an ODI.",Pakistan won by 32 runs, ODI,Pakistan vs Sri Lanka,4
"If you have just tuned in, don't mistake this for a shortened game. Pakistan, right from the word go, were never short on intent; Usman Khan - playing his second game - wreaked havoc with the ball and inflicted insurmountable pressure on the Sri Lankan batting line-up in the opening burst, recording his maiden fifer in international cricket while at it. All that in the space of 6.3 overs. From that point, there was no room for recovery. Thisara Perera's 25 stood out in what seemed like an atrocious and apalling scorecard. A defeat that should scare the devil out of their system. For Pakistan, it was just a walk in the park. A sweet revenge after being cleanswept in the Test series.",Pakistan won by 9 wkts, ODI,Pakistan vs Sri Lanka,3
"Another comprehensive performance from Pakistan. They've continued right where the left off from the ODI series. Their bowlers, all six of them, were among the wickets this evening to bundle Sri Lanka out for 102. And that was the game right there. There was a bit of a flutter early on with a couple of quick wickets. But the arrival of Shoaib Malik, who looked in absolutely brilliant touch, made it a cruise for the hosts. ",Pakistan won by 7 wkts, T20,Pakistan vs Sri Lanka,2
"Yet another one-sided affair. Everything went right for the hosts from the toss. Faf had no hesitations to bat on a belter and the batsmen took full advantage of it. The openers set the perfect foundation with a brisk century stand. Bangladesh, in the form of Mehidy Hasan, picked two quick wickets and that was the only moment in this match where Bangladesh found an opening. But, Bangladesh allowed their opponents to settle. du Plessis and Markran shared a century stand for the third wicket. Just when the South African skipper was approaching towards a ton, a lower back injury forced him to leave the field. Bangladesh were at their best with the ball in the final ten overs, but enough damage was done as the Proteas ended up posting their highest-ever ODI total versus Bangladesh.",South Africa won by 200 runs, ODI,South Africa vs Bangladesh,3
"If you weren't very excited going into this series, you should be now. New Zealand have created history at the Wankhede, largely without breaking a sweat (I say that metaphorically). They've done it through two extraordinary batting performances. When Tom Latham and Ross Taylor came together, the scenario was looking pretty grim for the visitors after losing three wickets in pretty much no time. But they didn't let the situation get to them. They rotated strike early, never allowed the spinners to dominate, and got the boundaries at timely intervals. India knew they were just one wicket away from getting into the inexperienced lower-order, but that wicket never came, not until the match was almost done.",New Zealand won by 6 wkts, ODI,India vs New Zealand,4
"What a thrilling game of cricket, and what a fitting finish to this series! A game which New Zealand will look back on as a missed opportunity to register a historic series win in India. They had it with Latham and Nicholls going strong, as deep as the 46th over mark. Especially with Latham looking in other-wordly touch. But lo and behold, Jasprit Bumrah, India's best bowler all evening, came back and bowled a couple of spectacular overs at the death. The pressure he exerted was enough for New Zealand to descend into panic, causing them to blow a golden opportunity. Almost making it a habit to pull off these cliffhangers in India's favour. Excellent yorker bowling.",India won by 6 runs, ODI,India vs New Zealand,5
"There are ways to reverse a 12-match losing streak, and then there is this. Hand India an absolute drubbing, with 176 balls and an entire sunset session going waste. Smiles, hugs, high fives in the Lankan dressing room..oh you've been missed. 113 was never going to be threatening, they did give the Indians a sniff, but Tharanga, his luck, and his edges sealed it. And Dickwella came in to have some fun. But that's only the icing. The real choclate in the cake came in the form of Lakmal's 10-4-13-4. Also India's desperation to seek practice sessions out of international games with batsmen of dodgy techniques.",Sri Lanka won by 7 wkts, ODI,India vs Sri Lanka,2
"Gosh, don't put down this win to just Sri Lanka's ineptitude. Yes, Indian bowlers had 180 odd runs to defend but they also had buckets of dew to contend with. Against two wristspinners bowling this late at Cuttack, Sri Lanka had equal stakes in the game, something that India's spinners chipped away with refreshing display of flight and spin, defying the dew like it never arrived. Rohit Sharma took his time between the overs, wiping the ball, and thus dictating the pace of the game. Undakat got the bowling off to a great start, flummoxing Sri Lanka with his cutters and the spin-twins, Chahal and Kuldeep, followed up beautifully. Six wickets between them, and that twinned with Dhoni-Pandey partnership towards the end sunk Sri Lanka.",India won by 93 runs, T20,India vs Sri Lanka,2
"Fair play to Kusal Perera for going after it, but come on, Sri Lanka were never in this. And then they collapsed dramatically, losing 8 wickets in 25 balls with India's wrist-spinners exacting their retribution for all the punishment suffered at the hands of Perera. With this win, India have now sealed the T20I series with a 2-0 lead. It was pretty much sealed at the halfway mark. Oh this was bad, even for Sri Lanka - after all their sufferings on this tour. Whatever soul they had left coming into Indore, Rohit Sharma destroyed it as he equalled the fastest T20I hundred.",India won by 88 runs, T20,India vs Sri Lanka,2
"A very convincing win for the Kiwis in the end. With the pitch easing out considerably as the game progressed, 248 was never going to be enough for the WI and that's what transpired. The new-look opening pair of Worker (stroked a fifty) and Munro did the damage upfront with a century stand in quick time to virtually kill the chase. Although both fell in successive overs, the middle order had no real pressure and they knocked off the runs rather easily despite losing a few more wickets along the way. Williamson got a start while Taylor was there till the end to see his side through. Debutant Astle made his dream debut more wonderful with a couple of power hits. For the Windies, debutant Beaton was the only impressive bowler while the others found their radar too late in the game to make any impact.",New Zealand won by 5 wkts, ODI,New Zealand vs Windies,3
"There's nothing Windies can take out of it. They have been outplayed in the series. Today was their best chance though. Rain never allowed New Zealand to gain the momentum and a curtailed match almost made it a T20 fixture, something which the Caribbeans love to be part of. However, it was a nightmarish start for them. Gayle went in the first over and it led to a procession that just did not stop. At one stage, they were 9/5 but Holder held one end and saved the blushes. Misery is over, at last.","New Zealand won by 66 runs (DLS method, reduced to 23 overs per side due to rain, target 166)", ODI,New Zealand vs Windies,2
