text,label
Shakib got out a little early and for a moment the Dutch would have felt that they could stage a come back but those hopes were washed away by a sparkling cameo from Rahim,neg
They recovered to post 128 but that didn't prove to be enough,neg
MS Dhoni will come in for much criticism,neg
They were bowled out for their second lowest score in T20Is and were never in a position to challenge Pakistan after that,neg
This is their biggest loss in terms of balls to spare.,neg
Just three Pakistani batsmen crossed into double figures and none of the three scored at faster than a run a ball,neg
The Zimbabwe batsmen failed to negotiate these two and they capitulated tamely,neg
"Shahzad, Mangal and Sadiq got off to starts but none could convert it",neg
They were never in the contest once Tamim and Shakib departed cheaply,neg
Nasir Hossain hung in there and scored a gritty fifty but he did not get support,neg
Sri Lanka were never in the match after T Dilshan was run out without facing a ball,neg
Dilshan Munaweera looked ill at ease and failed to score freely,neg
Nobody in the Lankan line-up could play a knock like the one played by de Villiers which ultimately made the difference,neg
"Levi and du Plessis failed once again, while their high catching in this game has been pathetic.",neg
"Taylor, Franklin and Oram struck some late blows but they were left with too much to do in the end",neg
It was a dismal performance with the ball from Bangladesh,neg
"They showed a lot of spirit with the bat, Shakib led the way there but there was no one to do a similar role with the ball",neg
The pacers were guilty of bowling too many short deliveries,neg
He has scored an unbeaten 71 off just 36 balls but even that was not enough to take England past the line,neg
It was all because of the horror start they got - Rampaul started with a double wicket maiden and England took their own sweet time to rebuild,neg
Bairstow in particular struggled to get going and that kept pushing up the required run rate,neg
"Hales and Morgan kept trying, and with some luck going their way, even put some pressure on West Indies, but the target was always beyond their reach.",neg
"So, for the third time in a row, South Africa have been unable to defeat Pakistan in the T20 Cup",neg
"After a brisk start, Pakistan lost three wickets quickly and they continued to lose wickets in the middle overs",neg
"Samit Patel was the lone batsman to show some fight with a spunky 67, Swann threatened to upset West Indies with a fine cameo but it was too little and too late.",neg
"Pakistan never looked like they would come anywhere close to the target, Nazir gave them a decent start but the middle order struggled as the spinners came on",neg
The death blow was the twin dismissals of skipper Hafeez and the woefully out of form Afridi,neg
Umar Akmal fought well but neither he nor Umar Gul could do little to snatch victory.,neg
Australia never got going and they were restricted to 43/6,neg
"However, the asking rate was too much as Australia suffered a 74 run defeat",neg
It became even more difficult after they lost some quick wickets early on,neg
They were totally outclassed and will have to forget this game before the next one.,neg
"West Indies were never in the chase right from the first ball, they lost their openers very early and never recovered from there on",neg
The match was over and only a fighting 56 from Mahmudullah delayed the final outcome.,neg
The Bangladesh batting collapsed again as Roach ripped through the top order,neg
At least 10 full tosses were wasted and Bangladesh have been made to pay for that,neg
Bangladesh will look back at the game and reckon that the last over from Rubel Hossain where he conceded 29 runs was the turning point.,neg
England were never in the game after they lost a flurry of wickets post a strong start,neg
The fact that India's batsmen came out attacking made things difficult for them as well,neg
India will look back at the last two overs which went for 38 runs,neg
"Yuvraj and Raina played gorgeous strokes, but got out at crucial junctures",neg
"Dhoni got the crowd going with 4 sixes, but hit one straight to the fielder",neg
Indeed that was the story of the innings as most of the batsmen gifted away their wickets,neg
The England chase never really got going,neg
"He played a lot of wonderful strokes and missed out on a well-deserved hundred, courtesy a poor decision",neg
"Except Finn, all the bowlers were expensive which did not help.",neg
"Ishant Sharma, Bhuvaneshwar Kumar and Ravindra Jadeja were impressive but the score was just not big enough to defend",neg
Chandimal fought bravely for his 73 but got zero support at the other end,neg
Kushal Perera and Dilshan started the chase off well but they stuttered when the spinners came on to bowl,neg
Glenn Maxwell hit consecutive fours and threatened to take the game away but he couldn't quite finish on a high.,neg
The visitors never really arrived for the game,neg
"The batting was a huge let down and even though the bowlers showed some spirit, it was never going to be enough",neg
The wet ball made it even more difficult for the Protea bowlers but they missed a few chances as well,neg
The visitors were never in the chase after Guptill and Brendon McCullum got out,neg
Franklin was probably their last hope but even he did not inspire any confidence,neg
New Zealand got off to a horrid start as the top order once again capitulated,neg
"However, in the middle overs, they once again stuttered before Nathan McCullum played a nice cameo",neg
But it has to be said that it was South Africa's match to lose,neg
"But thanks to 5 run outs, they eventually fell 27 run short",neg
Smith led the chase with a century but wickets kept falling around him,neg
"South Africa looked safe until Smith was there but once he went, New Zealand pounced on the opportunity",neg
Pakistan started off well and were kept in the hunt by some exceptional batting from their skipper Hafeez but Dinda ensured that India didn't have to worry by taking care of three crucial wickets.,neg
They would lay some blame on a crucial umpiring error when Jamshed was adjudged not out on 24,neg
Ashwin was guilty of overstepping and missed out on a wicket in the process,neg
Yuvraj dropped Jamshed on 68,neg
Umesh and Zaheer didn't get much out of the track but they troubled the batsmen with reverse swing,neg
He played a marathon knock but it wasn't enough to save the game.,neg
A straightforward win for the hosts despite missing many of their batting stars,neg
"The bowlers then stood up, Tharanga and Mahela were dismissed cheaply, Dilshan and Chandimal steadied the ship before the calamitous run-out of Dilshan started the slide",neg
Chandimal fought bravely for his 73 but got zero support at the other end.,neg
It was a hard fought match but Sri Lanka came up well short,neg
Sri Lanka never had one batsman to hold an end up,neg
Mahela Jayawardene promised much but fell too quickly,neg
Mathews waged a lone battle for some time but it was not enough,neg
It was definitely harder to bat as the game progressed,neg
"The South African bowlers toiled hard, but were let down by the batsmen as well as a wet ball.",neg
"Pakistan fought well throughout their innings but were just not good enough on the day, maybe a couple of more wickets in hand could have got them past the line",neg
Wahab Riaz batted really well but ran out of partners as Dale Steyn led the Proteas bowling line up with good support from the rest of the bowlers,neg
The bowlers fought hard but were let down by a below par score and their own profligacy with the extras,neg
West Indies just didn't turn up today,neg
The duo added 126 runs for the 4th wicket but the visitors collapsed once Powell fell.,neg
"Gayle failed, Pollard was run out, and that left a bit too much for the likes of Russell and Sammy",neg
Johnson Charles' streaky 100 and Pollard's watchful innings gave them hope but neither could last till the end.,neg
"That was the case here as well as New Zealand, though for a brief moment looked like they were in the hunt, could never really build solid partnerships",neg
"England never looked in the game and struggled against the pace, bounce and swing of the pacers",neg
Ian Bell started off well but fell in the pursuit of quick runs,neg
Alastair Cook and Jonathan Trott shared a steady 67 run stand before Tim Southee sent both Trott and Cook back,neg
"For New Zealand, only Southee and Andrew Ellis bowled well but the rest of the bowling lacked penetration.",neg
"Zimbabwe were never really in the hunt, their top-order was blown away very quickly and ever since then there was no recovery from them even though malcolm Waller registered his 4th ODI fifty",neg
"Mutombodzi and Mushangwe bowled well for Zimbabwe, but they didn't have a good total to defend.",neg
"Chasing a revised target of 183, Bangladesh got off to a good start, but soon lost wickets in a heap",neg
"Sri Lanka fought hard, but the efforts of Malinga and Senanayake was not enough in the end to bring them back into the game.",neg
Some tight bowling towards the end by the Sri Lankan bowlers made it difficult for Bangladesh and they fell short by 17 runs.,neg
"Bangladeshi seamers bowled a tight line and length to rip through the Zimbabwean top order, with only Taylor and Masakadza brothers offering some resistance",neg
They bowled well initially as they were boltered by the addition of Vitori,neg
He gave them a good start and struck twice in 2 balls to leave Bangladesh struggling,neg
"Zimbabwe started the chase in an aggressive fashion, but lost Masakadza and Taylor in quick succession",neg
But one over from Utseya changed it all and it all went downhill from there,neg
"They kept losing wickets at regular intervals, Mushfiqur had almost carried them home but he was caught off the first ball of the final over and it was all over for the visitors.",neg
Zimbabwe kept losing wickets at regular intervals and never really looked in control of the game,neg
England never looked like they would chase this score down,neg
"Only Trott stood amongst the ruins and compiled a century, but the match was lost way before that",neg
"Guptill started off on a positive note, but the visitors suddenly lost track of their chase",neg
"In the end, it was too much for Taylor as he ran out of partners",neg
There were lots of stoppages due to rain in the 1st innings and the match was reduced to 47 overs,neg
"Pakistani bowling was horrible and even their experienced spinner, Ajmal went for 71 runs in his 10 overs.",neg
India showed no intent whatsoever in this chase,neg
"By the end of 10 overs, India were crawling around at a run-rate just under three",neg
They kept on losing wickets and only Ravindra Jadeja showed some character with an unbeaten 49,neg
West Indies were already on the back foot when the rain delay shelved some overs off,neg
"Chasing 274 for an unlikely win and 219 to deny India the bonus point, Umesh Yadav and Ishant Sharma ripped through the middle order",neg
"However, once he departed, India struggled to gain momentum",neg
"If one thought Pakistan batted very badly, the West Indies reply was even poor",neg
None of the batsmen got going and eventually they succumbed to pressure,neg
Pakistan were never really allowed to be free,neg
Nasir Jamshed was given 4 lives but he could not make the most of it,neg
"One thought Pakistan pulled off a fine win but they were denied by Holder and more importantly, Umar Akmal himself",neg
"They lost Gayle, Charles and Darren Bravo early",neg
"Pressure got the better of Dwayne Bravo, Pollard and Sammy who went in quick succession",neg
Holder held his nerve and hit a boundary and then a stunning six before Akmal grabbed attention on the final ball by missing a relatively easy run-out.,neg
Pakistan kept a healthy scoring rate but lost wickets at regular intervals,neg
,neg
Gabriel's erratic bowling in the 19th over has proven to be very costly for the West Indies.,neg
The Lankans were brilliant as the visitors never really got going from the start,neg
But some clever bowling by the spinners out-foxed them and they began losing wickets at regular intervals,neg
The injury to Hashim Amla already jolted South Africa's batting line-up,neg
"The bowlers made sure that Sri Lanka struggled in the chase, Tsotsobe struck thrice in no time to reduce them to 16/3",neg
"Mahela and Chandimal added useful runs but when they were reduced to 92/6, it looked all but over",neg
South Africa did not go for a review when Duminy trapped Sangakkara plumb in front very early in the piece and they paid a heavy price for it,neg
"With the series lost, they came out firing and put the South African players under huge pressure",neg
The openers got starts but failed to build on,neg
"Kohli and Raina fell towards the end, but the match was all but decided by then",neg
Vusi Sibanda and Hamilton Masakadza started confidently but once these two fell the innings just fell apart,neg
Zimbabwe lost wickets at regular intervals and never got going,neg
Cheteshwar Pujara failed to make the most of his opportunity at the top of the order as he was bowled by Chatara for just 13,neg
"After a fine start given by Dhawan, Jadeja slowed things for a while before accelerating alongside Rahane",neg
Zimbabwe will be really unhappy with their show in the series.,neg
"But, Anwar Ali trapped Masakadza in the 8th over and it all went downhill from there",neg
Taylor's fightback at one end was not enought as they needed 32 off the final over,neg
The hosts started off well but stumbled in the middle overs as the Pakistani spinners stole the day,neg
Last time they won a match against Pakistan in ODIs was way back in 1998,neg
Masakadza gave them a fantastic start and was unlucky to miss out on a century as he got out for 85,neg
A late collapse hurt the Zimbabweans,neg
They were put into bat and they struggled hard to reach a decent total,neg
"Zimbabwe started their chase pretty well, but lost back to back wickets of Masakadza and Taylor in quick sucession, which dented their hopes",neg
Almost all Pakistani bowlers chipped in with wickets and Zimbabwe never really looked like chasing down the total.,neg
"Chasing 249 was always a tough ask, but England started the chase on a perfect note, but lost 3 wickets in space of 2 overs which derailed their chase",neg
,neg
"It was a tough chase for the visitors, they lost Finch and Watson early",neg
"Warner led the chase with a spirited half century, but it all went downhill once he was dismissed",neg
"Maxwell did his best towards the end, but it was always a steep chase",neg
Chasing 362 was always a tough ask,neg
Australian bowlers struck at regular intervals to make matter even worse for Scotland,neg
"Only Pietersen, Morgan and Buttler excelled with the bat, with rest of the batsmen falling to some poor strokes.",neg
It was tough going for Morgan and Carberry as they looked to rebuild the innings,neg
The 104-run stand was broken by Watson who accounted for Morgan,neg
"For Australia, this is their fourth loss in five ODIs at this venue.",neg
Australia have some silverware to take home at the end of their long English summer,neg
The England batsman never really got going and lost early wickets,neg
They were in the hunt until Bopara and Buttler shared a fine partnership but the batting powerplay helped Australia as both were dismissed in quick succession,neg
The tail wagged for a while but they had too much to do and eventually were bowled out 49 runs short,neg
"The New Zealand bowlers were finding it difficult to get regular wickets, they could not get an early wicket and were under pressure most of the time during the run chase",neg
"The jinx continues for New Zealand, they have now been whitewashed twice in three years.",neg
Bangladesh's poor record in T20Is continues as they slump to their 7th loss in 8 games,neg
He was well supported by Naeem and Nasir but pressure got the better of them as they lost wickets at regular intervals,neg
"But in the end, the vistors held their nerve and now they will not be going home empty handed.",neg
India were set a challenging target and they lost Rohit early,neg
Raina and Dhawan gave them a good start in the powerplay until both were dismissed,neg
Kohli threw his wicket away after getting a start,neg
India were off to a bad start losing Dhawan very early,neg
"Rohit Sharma, Virat Kohli and Suresh Raina, all started well but failed to convert it into bigger knocks",neg
Dhoni failed for once and the lower order capitulated in the face of the mounting run-rate,neg
"Rohit missed out on his ton, dismissed by a rank half-tracker from Finch",neg
"He continued with the form he showed in Jaipur as the target came down with every over, Dhawan was dismissed shortly after his hundred and India suffered a minor hiccup when the two out of form batsmen, Yuvraj Singh and Raina were dismissed in a Johnson over.*",neg
South Africa never really got going,neg
They kept losing wickets at regular intervals and none of the batsmen really got in,neg
They struggled to get the spinners away,neg
All the three spinners created all sorts of problems,neg
Some of the batsmen got starts but no one went on to get a big one,neg
There is lot to think about for Pakistan as their batsmen let them down again,neg
"Most of them got starts, but threw their wickets away",neg
The partnership between Riaz and Tanvir looked promising but it was too late.,neg
Once again Pakistan have handed the match on a platter to South Africa from a winning position,neg
"He even stitched an fruitful stand with Misbah, but his wicket triggered the collapse and Pakistan lost 5 wickets for 10 runs soon after",neg
"Umar Akmal played a fine cameo, but got out to a poor shot",neg
"Once again Misbah hung around, but the pressure got the better of him and he holed out in the deep",neg
They got off to a poor start when they lost Charles and Samuels early,neg
Both got to their fifties before throwing it away,neg
"Simmons had a reprieve on 43, when Yuvraj dropped a simple catch",neg
Rohit Sharma and Virat Kohli fell cheaply but Dhawan was in sublime form,neg
"Yuvraj Singh was an able foil, he wasn't at his best, struggling notably against Narine, but managed to fight along",neg
The pair all but took the match out of the visitor's hands,neg
"For West Indies, Ravi Rampaul and Sunil Narine were exceptional with the ball, but they got no support from the rest of the bowling attack",neg
New Zealand's fielding let them down badly as they dropped Kusal twice and the ground fielding also was not up to the mark,neg
It has started to rain again and the match has been called off,neg
Shehzad was the first to go when he chopped a ball onto the stumps from Tsotsobe,neg
Hafeez and Jamshed did well to stitch a partnership before the latter got out,neg
Soon the rain intervened and they were one hit away from winning.,neg
The latter continued after the departure of his partner and was out just before he could get his maiden T20I fifty,neg
But they were left with too many to get and some good death bowling did not help their cause as well,neg
Only these two teams could have snatched defeat from the hands of victory and South Africa continue to live up to their 'Chokers' tag,neg
His dismissal slowed things down and pressure got to them and eventually they lost by a narrow margin.,neg
Ajmal was once again the pick of the bowlers and was well supported by Rehman but they did not have enough runs on the board.,neg
Dwayne Bravo and Simmons steadied the innings before the skipper was snapped up,neg
Simmons was looking good before he poked at a wide one from Mills,neg
Things never really got going for the New Zealand batsmen,neg
They all got to good starts but were unable to hold on and convert those starts into big scores,neg
The West Indies bowlers were not supported by their fielders,neg
They put down four chances at the start and were sloppy throughout,neg
The others were not effective and went for plenty of runs.New Zealand clinch the T20I series 2-0,neg
They started off well with Ryder going berserk but West Indies came back well to leave the hosts reeling at 5 for 79,neg
"Chasing a mammoth 359 runs for victory, India got off to a tough start as they were tested by some top class fast bowling from Steyn and Morkel, with the former unlucky on numerous occasions as he went past the outside edge on a consistent basis",neg
"Kohli showed some resistance and struck some meaty boundaries, but McLaren worked him over with a peach of a delivery",neg
Dhoni waged a lone battle and he didn't get the support from the other end,neg
India got off to a horrendous start as they lost Dhawan and Kohli for a duck,neg
Rohit and Rahane didn't last long either as they went playing some poor shots,neg
Dhoni and Raina hung around and added 40 runs for the fifth wicket before the latter was sent packing by Philander,neg
Jadeja and Ashwin prolonged the inevitable for a while before succumbing to the pace and bounce of the Proteas bowlers,neg
"Chasing a huge score, Pakistan got off to a poor start losing Shehzad early and rest of the batsmen failed to stitch an useful stand and at one stage they were precariously placed at 121/8, but a fighting stand of 63 for the 9th wicket between Tanvir and Ajmal brought some hope for the home team, but Sri Lanka fought back to snare the remaining 2 wickets.",neg
It looked like the duo were going to pull off an unlikely win with a record 8th wicket stand for Sri Lanka against Pakistan but they couldn't quite hold their nerves in the end.,neg
They started the chase well before both the openers perished run-out,neg
Sangakkara and Chandimal steadied the ship with a 94-run 3rd wicket partnership but Junaid triggered a mini collapse as he knocked over three Sri Lankan batsmen,neg
Misbah-ul-Haq wasn't happy with his side's effort as they let Sri Lanka off the hook from a winning position.,neg
"Sri Lanka were never in the chase, Gul struck twice in his 2nd over, a lot depended on Dilshan and Sangakkara, but the latter was dismissed cheaply",neg
"The rest caved in cheaply, despite a fighting fifty from Dilshan",neg
Sri Lankan bowlers were not effective and they have lot to ponder as their batting and bowling has not clicked in this series so far,neg
"Dilshan and Sanga steadied the innings, before both of them went in succession",neg
The England bowlers couldn't defend 25 runs off the last 2 overs,neg
"But when Clarke took some pace off the ball by introducing the spinners, the visitors started to lose their way",neg
"England recovered for a while in the form of Morgan and Bopara but with the Aussies getting 4 wickets for 21 runs at one stage, England were reduced to 198/8",neg
"With this win, Australia have ensured that England will go home empty-handed",neg
Finch fell in the 6th over just before the opening stand crossed fifty,neg
Maxwell didn't last long either as he hit one in the deep to Bresnan,neg
"England had a daunting task and with a change in the batting-order, the openers found the going tough and perished in quick succession",neg
"But, he could not put the full toss away which sealed the victory for Sri Lanka.",neg
"The Afghans were on top for the first part of the game, but Umar Akmal's knock took the match away from them",neg
"While chasing, their top-order played too defensively and that put the pressure on the other batsmen",neg
"Jadeja and Ashwin pulled things back in the middle overs, but the much haunted death bowling came back to haunt India.",neg
The hosts did not know what hit them as Afridi produced another blast from his armoury to consign Mushfiqur's men to another heart breaking defeat,neg
"Al-Amin Hossain scuppered Sri Lanka's chase, snaring Kusal Perera and Sanga early",neg
Things went from bad to worse when Thirimanne sold Mahela a dummy,neg
But he got very little support from the rest of his mates,neg
"The top-order imploded, each batsman following the other in throwing their wicket away",neg
England got off to a worst possible start,neg
They lost Hales and Wright in successive deliveries,neg
Morgan started postively but he too could not convert his start,neg
Bopara and Bresnan had some late flourish but the match had already slipped out of their hands,neg
Ramdin too gave him good company but the latter perished in pursuit of some quick runs,neg
Sammy and Simmons tried their level best but couldn't quite hold their nerve to get over the line,neg
The bowling was disciplined but they were simply helpless in front of the assault from the Bangladesh batsmen,neg
"Nepal's spinners were undone by the dew, and had no chance of defending the paltry target.",neg
Paul Stirling had to retire hurt after getting a blow on his shoulder,neg
"They lost a clump of wickets towards the end before the match was finished abruptly, thanks to floodlight failure as well as rain",neg
Australia started off poorly as they lost Warner and Watson in the first over,neg
He looked well on course for a hundred before throwing it away,neg
He too got to his fifty but in the end there was too much to do for him.,neg
Bangladesh bowlers did not have much in the bank,neg
They tried their best but could not restrict the two in-form batsmen from playing their shots.,neg
West Indies started the match only after 15 overs,neg
He scored a well compiled 70 and the inexperience showed when he played a poor shot when there was a hundred for the taking,neg
Shaidi and Shenwari then added a 64-run stand for the fourth wicket before Shenwari tried to hurry things up,neg
Hong Kong bowlers were not supported in the field as they put down four catches which did not help their cause.,neg
Amjad was looking good for a hundred but fell just short by two runs,neg
Once he got out there was no support for Khurram and he too perished after a while,neg
"219 was never enough on this track, but the Irish batsmen couldn't handle Mendis and co and lost too many wickets at the start and they could never come back into the game after that",neg
Most of the batsmen were not able to pick Malinga as the Sri Lankan captain mixed his slower deliveries well and finished with the figures of 3/28 from his 4 overs.,neg
"The visitors never really got going with the bat, Mahela was the only one who looked good at the crease but he too perished at the wrong time",neg
"The rest of the batsmen were troubled by Jordan, who was the pick of the bowlers with 3 wickets",neg
"The visitors started off well with McCullum and Williamson going berserk but once Baz fell to Badree, they lost the momentum",neg
"Pollard tightened things in the middle with his variations and once the asking rate went up, the New Zealand batsmen failed to get the big hits away",neg
They lost their last 8 wickets for 44 runs,neg
"A misunderstanding caused Dilshan's exit, and that was followed by a slump",neg
"Mathews fought hard for his 58, but the match was over once he was dismissed.",neg
He fell just when India were in control,neg
Dhoni and Raina tried their best but some good death bowling did not allow them to score as freely as they would have liked,neg
"The Indian skipper kept his side in the game until the final delivery, but was not able to take them past the finishing line.",neg
Hamilton played second fiddle and missed out on his ton by 7 runs,neg
Afghanistan bowlers didn't have any answers to the onslaught,neg
The visitors will have a lot to ponder about for the next game.,neg
The visitors had got off to a fiery start before losing the plot in the middle overs,neg
The story could have been more shameful for the hosts if not for a fighting 64 from Mutumbami,neg
"Eventually, Zimbabwe folded for 159, giving Afghanistan a big 100-run victory",neg
The Pakistan batsmen played some rash shots and perished in the process.,neg
"The former being the aggressor, both men got to their fifties and threw it away",neg
"Once the 100-run stand was broken, Zimbabwe never seemed to go for the victory",neg
"Chigumbura was struggling with an injury to his leg, he was unable to run properly and debutant Jongwe tried his best but he too fell trying to accelerate.",neg
"Once the Tamim-Rahim stand was broken, Bangladesh were never really in the hunt",neg
339 was chasable but the visitors didn't plan their chase properly,neg
Anamul and Kayes played poor shots to put pressure on the rest of the batsmen,neg
Rahim hung around but he couldn't score freely,neg
"Zimbabwe's coach, Steven Mongango, didn't look too plesed with his lads and the hosts have a tough job after this heavy defeat.",neg
Clarke came out to bat in the last over as they lost 9 wickets but he didn't face a ball.,neg
"Zimbabwe's chase never got going, several of their batsmen got starts, but none of them converted it into an innings of note",neg
That ends Zimbabwe's campaign in the tournament,neg
The pacers didn't have a great time and both Irfan and Riaz went for runs.,neg
Guptill and Neesham could not provide the start that their team would have hoped for,neg
"Latham, Brownlie and McCullum all got starts, but none could convert it into a big score",neg
"Apart from Haris Sohail, who picked up three wickets, and Afridi (2 wickets), none of the Pakistani bowlers could trouble the batsmen.",neg
"The visitors got off to a positive start, but Moeen Ali threw it away",neg
"Captain Cook hung around for a while, but the returning Sachithra Senanayake trapped him LBW",neg
"Apart from Senanayake, who got three wickets, none of the Sri Lankan bowlers were impressive.",neg
"But after his dismissal, for a 31-ball 77, West Indies threatened to undermine all his work",neg
"It looked like West Indies would win with three overs to spare, but Wiese brought the hosts back by removing both in quick succession",neg
The visitors lost their way slightly as South Africa picked up 5 wickets in a space of 38 runs,neg
