text,score,T20_type,team,label
"A comfortable run-chase from the Rajshahi Kings, sweeping off Sylhet's challenge of 147 without too much bother. The pitch was too good, and the target too small. Once that opening partnership between Mominul Haque and Rony Talukdar found some rhythm, it became very difficult for Sylhet to pull things back. They did fight back with three quick wickets, but Zakir Hasan's quickfire half-century killed them off.",Rajshahi Kings won by 7 wkts,T20,Rajshahi Kings vs Sylhet Sixers,3
"There were a few crests and troughs in the Khulna innings. But that was until Mahmudullah and Ariful Haque got together. The duo took their time early on and didn't panic, even with the required rate touching nine. Then, to ease the pressure, Ariful unleashed a couple of smashing blows and turned it in Khulna's favour. That almost sealed the game. Mahmudullah did the rest by taking his team home along with Brathwaite who gave a striking glimpse of his power in just the two balls that he faced.",Khulna Titans won by 5 wkts,T20,Khulna Titans vs Chittagong Vikings,3
"Dhaka solidify their position at the top of the table with a commanding performance. The two West Indians - Lewis and Pollard - set it up with blistering fifties with the bat, and then the bowlers hardly gave a sniff to Rajshahi, who were just not up for it today. Catches dropped in the field, toothless bowling, and some very lacklustre batting from them, after their win yesterday. So they continue to blow hot and cold this year.",Dhaka Dynamites won by 68 runs,T20,Dhaka Dynamites vs Rajshahi Kings,3
"Excellent bowling display from the Victorians' bowlers. 153 was a par-score and they were up against a strong batting line-up. Mahedi Hasan was superb upfront with the new ball and he should have had Gayle for a golden duck. But the umpire didn't rule it in his favour. Gayle, who got two lives, started to go after the bowlers and scored three boundaries in the same over. But, the big man was tamed by the Afghanistani sensation - Rashid Khan. The leg-break trapped him off the first ball (Hawk-Eye showed it to be pitching outside leg). The spinners struck in tandem and reduced the Riders to 32-4 in the sixth over. Mithun and Bopara played cautiously and were involved in a 67-run stand. However, both of them found it hard to time the ball. In the end, Hasan Ali was once again brilliant with his variations. Comilla climb up to the second spot with this win.",Comilla Victorians won by 14 runs,T20,Rangpur Riders vs Comilla Victorians,4
"Shoaib Malik kept his head calm and took his team past the finishing line. Chasing a below-par score, Tamim came all guns blazing. He played one shot too many and perished to Narine. Malik joined hands with Kayes and together they slowly steadied the ship. Bravo and Buttler got into the double digits and were dismissed. However, the Pakistani was unruffled. He sensibly saw off Narine and went after the less experienced bowlers. The Victorians, with this win, go to the top of the table pipping the Dynamites.",Comilla Victorians won by 4 wkts,T20,Dhaka Dynamites vs Comilla Victorians,4
"Much-needed win for Rangpur Riders. They will get out of the last position with this win. What a comeback from Mortaza's men! At 25-3, Nasir Hossain was joined by Sabbir Rahman and they went after the Riders' bowlers with a century stand. At the end of 16 overs, they were 135-3, needing 35 runs. The time-out was taken and the momentum shifted towards the Rangpur side - thanks to the 2-run over from captain Mortaza. Rubel and Thisara Perera held their nerve in the death and executed the yorkers superbly.",Rangpur Riders won by 7 runs,T20,Sylhet Sixers vs Rangpur Riders,5
"Ariful Haque has won it single-handedly for Khulna. Came pretty late in the innings, when his team was virtually out of the match. Sami was bowling some brilliant yorkers and it looked all but over for Khulna. But Haque kept his calm and managed 18 runs off the 18th over, Hossain Ali was the unlucky bowler. Once the equation was achievable, he ensured that he had the strike for the last over. Needed only two balls in the last over from Smith to seal the deal. Earlier it was a valiant effort from skipper Mahmudullah which had kept them in the game for most part of the innings before some late wickets brought Rajshahi back.",Khulna Titans won by 2 wkts,T20,Rajshahi Kings vs Khulna Titans,5
"Wow, what a finish! Dhaka have somehow managed to botch their run-chase spectacularly. No question they should have got home, and should have done so comfortably. However, first, Afridi allowed Rangpur an opening when he threw his wicket away with an ugly slog. That wicket stalled their momentum appreciably. And then in the last over, with 10 required, it appeared as if Pollard would go on to finish it off after he hit a giant six off the third ball. But now in hindsight, his decision to refuse three possible singles is what came back to bite him as Perera produced two sensational yorkers off the final two balls to help Rangpur pull off a heist.",Rangpur Riders won by 3 runs,T20,Dhaka Dynamites vs Rangpur Riders,4
"A big win for the hosts. The platform was set by the batters - thanks to Raza and Ronchi - who powered Chittagong to a massive score of 211. The Sixers came out all guns blazing with Gunathilaka starting off their innings with a six. The Sri Lankan perished early, but Andre Fletcher had other plans. The West Indian went after the bowlers and the match was nicely poised with 10 overs left. He ensured that the asking rate didn't swell above their reach. But, a slower ball from Taskin led to his downfall. That's when the Sixers lost their plot. Babar Azam struggled for timing and he fell for a 32-ball 41. Soumya Sarkar and Stiaan van Zyl chipped in with two wickets apiece, which ruled out a win for Sylhet.",Chittagong Vikings won by 40 runs,T20,Chittagong Vikings vs Sylhet Sixers,3
"After a scratchy start, the Riders found momentum through their skipper Mashrafe Mortaza who surprised everyone by promoting himself up the order and smashing a 17-ball 42. That set the foundation for the rest of the batters who managed to find occasional boundaries and ensured the asking rate was always under control. With 14 needing from the final over, Taskin Ahmed showed nerves and bowled some ordinary deliveries which helped Riders upset the home team and their vibrant crowd.",Rangpur Riders won by 3 wkts,T20,Chittagong Vikings vs Rangpur Riders,3
"And so, with this win, Dhaka Dynamites leap up to the top of the ladder. The chase lacked steam until the 8th over, but Evin Lewis unleashed himself soon scoring 26 runs - which included 4 sixes - off the next over. Denly played the second fiddle, but found a way to hit timely boundaries. That injected the much-needed momentum and although the visitors lost both the aforementioned batsmen, the task never got out of hand with the likes of Shakib and Delport chewing the target with yawning ease. Unfortunately, by virtue of this loss, Chittagong Vikings find themselves with no hope of qualifying for the play-offs.",Dhaka Dynamites won by 7 wkts,T20,Chittagong Vikings vs Dhaka Dynamites,3
"Could well be the end of the road for the Kings. A woeful performance from them. In all three departments. After conceding the highest score of the season, they had to bat out of their skins to record a believe-it-or-not win. Unfortunately, their batsmen couldn't find any rhythm and kept losing wickets at regular intervals, and thus, had to cope with a huge defeat of 68 runs in the end. The Titans, on the other hand, reclaim the top spot and displace Dhaka Dynamites who possess a better net run rate among all teams.",Khulna Titans won by 68 runs,T20,Khulna Titans vs Rajshahi Kings,2
"'Small totals are always tricky to chase.' That adage holds perfectly true for this game. The top four Victorians batsmen, chasing a meagre total, tried too hard for boundaries in the initial overs and couldn't quite get going given the two-paced nature of the pitch. They somehow laboured along with decent contributions from their senior three; Tamim, Malik and Samuels. Credit to the Riders' bowlers for making a good fist of challenging the opposition despite a shambolic show with the bat.",Comilla Victorians won by 4 wkts,T20,Comilla Victorians vs Rangpur Riders,5
"That brings an end to the league rounds. Comilla Victorians stamp their authority with yet another clinical win. They never allowed Sylhet to gain the momentum. Having scored a decent total, they always were in with their noses ahead. But the way their bowlers came charging, particularly Hasan Ali, it never allowed Sylhet to have a go at the target. Liton Das is adjudged the Man of the Match for his heroics with the bat.",Comilla Victorians won by 25 runs,T20,Comilla Victorians vs Sylhet Sixers,3
"Khulna Titans are out of the tournament. And courtesy this 8-wicket canter, Rangpur Riders get another shot at finale. Gayle gets a big hug from Mortaza, who won a good toss, kept the target in check and allowed Gayle and Co. to unleash. But credit to Gayle for making the most of it, in the form of his fourth BPL hundred which helped him climb to the second spot on the list of run-makers this season. He hit 14 sixes, the most in an innings in BPL and gunned Khulna down as early as in the powerplay. This game was over before you could realize.",Rangpur Riders won by 8 wkts,T20,Khulna Titans vs Rangpur Riders,4
"That's a big win for Dhaka, gunning Comilla down to their first sub-hundred score in the history of BPL. There's still hope for Tamim's team. They will have a second shot at the finale berth, but can they recover from today's performance? An absolute mismatch of a contest between two top sides. Dhaka chose to bat and put the runs on the board. Despite a sluggish finish, they managed 191 which, in the end, proved to be more than enough. Comilla lost three wickets in the powerplay - Buttler being one of them - and that was a point of no return. Afridi got Tamim and Bravo in the same over when Comilla were looking to mount a partnership and that killed any hopes of a fightback.",Dhaka Dynamites won by 95 runs, T20,Comilla Victorians vs Dhaka Dynamites,2
"Joy for Mortaza. The fourth BPL title for him manifesting itself as Rangpur's first ever in the tournament's short history. Apt that Gayle gets to wrap the innings with the ball, after all but wrapping defending champions Dhaka with a blistering 69-ball 146 - his highest ever score in BPL that also happens to be the first century scored in the tournament's finale. Chasing 207, Dhaka looked baked. They didn't do themselves any favours, losing four inside the powerplay. Mortaza kicked things off with Maruf's wicket in the first over and then Gazi struck in consecutive overs, plundering away any chance Dhaka had at a rearguard. Jahurul Islam's rather quickfire fifty was as consolatory as it gets.",Rangpur Riders won by 57 runs,T20,Dhaka Dynamites vs Rangpur Riders,3
"A comprehensive win for Sirsa Warriors. Chasing a target of 131, their openers got them off to a flier and gave no openings whatsoever to their opponents. Kapil Kumar scored a dashing 73 with a strike rate of 192.11. He put on a 118-run stand with Talwinder for the first wicket. Panchkula Kings picked up four wickets, but it was all too late.",Sirsa Warriors won by 6 wkts, T20,Panchkula Kings vs Sirsa Warriors,3
What a match we had today. Sirsa were up against a mountain but got off to a flier. Gurugram pulled things back but Sarun kept batting with tremendous belief. Had the confidence of a lion to take the total down. Almost managed that but departed in the second last over to make the equation a little too tough. In the end Ankush Dhariwal held his nerves and helped Gurugram pull off this one.,Gurugram Gladiators won by 4 runs, T20,Sirsa Warriors vs Gurugram Gladiators,5
"A comprehensive win for Lancashire. James Anderson and his new ball partner - Mahmood set the tone scalping Hain and Barker respectively. Bell and Ambrose put on a 50-run stand for the third wicket. Once that was broken by Stephen Parry, there was no looking back for Lancashire. Parry finished with impressive figures of 3-12 off his quota of four overs and ensured that there wasn't any opening for Birmingham back in the game.",Lancashire won by 63 runs, T20,Lancashire vs Birmingham,2
"Lahore Qalandars win but only just. Feasting merrily on the no-balls and wides, mainly towards the end of the innings, Aaron Thomason stroked 44 off 27 to take Birmingham real close. Overs seventeen to nineteen yielded 42 runs, but in quite an anticlimax, Thornton ran out big-hitting Thomason and that was it, perhaps, as much as the wide off the first ball of the last over, with only 13 needed, might have suggested otherwise.",Lahore Qalandars won by 6 runs, T20,Lahore Qalandars vs Birmingham,4
"New Zealand win by 61 runs (DLS), snapping Pakistan's nine-match winning streak. With that persistent drizzle adamant on getting only heavier, this was on. Pakistan lost many wickets in a cluster early in the chase and that after conceding the highest ever ODI score at Wellington, thanks to Williamson's 10th ODI century. Wasn't going to be easy, was it, with rain or no rain around. It can be said that except their brief period of recovery post Munro onslaught and Zaman's delicious innings later, Pakistan don't have much to take away from the game.",New Zealand won by 61 runs (DLS method ), ODI,New Zealand vs Pakistan,2
"A fine contest was setup by the Pakistan lower-order and Hafeez after a top-order collapse and NZ were set 247 to win. After getting the key wickets of Williamson and Munro, Pakistan were clearly ahead. However, rain played spoilsport in the 100th match party between the two sides as the Kiwis were set a revised target. Martin Guptill and Ross Taylor laid into the attack with a flurry of sixes after the rain delay to polish off the target with 7 balls to spare. So, New Zealand go 2-0 up in this five-match series, and Pakistan will have to make an extraordinary comeback in the next three games if they are to win this series.",New Zealand won by 8 wkts,  ODI,New Zealand vs Pakistan,2
"258 was always going to be difficult for Pakistan on this pitch. But little did anyone know that the visitors would scramble to avoid being bowled out for the lowest ODI score. Sarfraz hung in there, Amir produced a few edges and then Raees played a few shots to save them the blushes. The chase was off almost in the first 10 overs when Trent Boult ripped them apart with a stunning new ball spell, getting the ball to move at pace. From that point, it was about avoiding some unwanted records.",New Zealand won by 183 runs, ODI,New Zealand vs Pakistan,2
"Geez does this game turn around dramatically! Does it ever! Shadab Khan's spell was instrumental in crippling New Zealand from 88/0 to 99/4, giving Pakistan the upper hand in the chase. And then Colin de Grandhomme, that monster, did one better. He was something else tonight, overcoming the momentum deficit with hideous ease. The timing off his bat was absolutely sensational from the moment he arrived, and before you knew it, Pakistan were blown away on a pitch which was affording decent turn. Madness. ",New Zealand won by 5 wkts, ODI,New Zealand vs Pakistan,4
" New Zealand blank Pakistan 5-0! A whitewash. Well, credit to Pakistan's lower order for making a match out of this. At 57/5, it looked like this match was heading towards an embarrassing defeat for the visitors. That's when Shadab Khan stitched a 105-run stand with Haris Sohail. Both batsmen registered their respective fifties, but fell to Santner within a span of 13 balls. Aamer Yamin along with Faheem Ashraf and Mohammad Nawaz took the game deep with a couple of lusty blows along with a few inside edges. But the task was too tough and the Kiwis held their nerve when it mattered. Earlier in the day, despite a century and half-ton from Guptill and Taylor respectively, the fast bowlers squeezed the run flow towards the end to restrict NZ to par score. The top order batsmen (barring Sohail) need to be blamed for this loss. ",New Zealand won by 15 runs, ODI,New Zealand vs Pakistan,4
"An unusual pitch for a T20I match this, having plenty of pace and a little uneven bounce to make it difficult for the batsmen. So it was an excellent toss to win for New Zealand. The problem was, Pakistan didn't know their target. They went too hard at the top, rather than aiming for something which could have been defendable here. In doing so, they collapsed in a heap and were in danger of being bowled out for something rather infamous before Hasan Ali and Babar Azam saved them the blushes. Still, 105 was too light a total to defend. Amir and Raees came in steaming with the new ball, making a couple of dents up front. But New Zealand knew what they were chasing. They were able to take their time through the middle, absorbing the pressure, before finally cashing in with a few release shots. The hosts have coasted home eventually, with Taylor and Munro finishing in a flurry to go 1-0 up.",New Zealand won by 7 wkts, T20,New Zealand vs Pakistan,2
"How did Pakistan not win a game so far? They were simply outstanding today. Bossed all three departments and have kept the series alive. Having equalled their second highest T20I total, the Pakistani bowlers came all guns blazing. They had a plan to bowl at the body and they executed it to perfection, claiming three wickets inside the powerplay. Guptill battled his way through to 26 and was the highest contributor in the top-order, while 30s from Santner and Wheeler just delayed the inevitable. All the Pakistani bowlers were among the wickets, Ashraf being the pick with three. The visitors have finally arrived on tour and they have in style. ",Pakistan won by 48 runs, T20,New Zealand vs Pakistan,3
"Pakistan were simply outstanding once again. They outbatted, outbowled and even outfielded New Zealand in this game. Chasing 181 against Pakistan's bowling unit was never easy. Williamson and Guptill were tied down by some disciplined bowling. The latter kept the scoreboard ticking with a fifty but had no support from the other end as Kitchen struggled with his timing. A cow-corner-loving Ross Taylor provided New Zealand some hope with a few meaty blows, but the asking rate was a bit too much for him. Amir and Raees were brilliant at the death, while Shadab bossed the middle overs. Overall a complete team performance from Pakistan takes them to the number one spot in T20I rankings.",Pakistan won by 18 runs, T20,New Zealand vs Pakistan,4
"Not many preconceived this result. India take a 1-0 lead and win in a canter with 27 balls to spare as well. The chief architect was the skipper himself with another sublime ton. His 33rd in ODIs. And India's latest 4, tried out previously though, Rahane threw his hat into the ring for being a contender for the spot by stroking a calculative 79. Even Dhawan's quickfire 35 served as the launchpad for India's riposte.",India won by 6 wkts, ODI,South Africa vs India,3
" It's a staggering win for India at Centurion to go 2-0 up. Fifty minutes back, it would have felt a lot more staggering, but cricket's laws wouldn't have it that way. We're still reeling from how ridiculous that break for lunch was. But tough as it may be, let it not steal the thunder from Yuzvendra Chahal's maiden ODI five-for which crashed South Africa to their lowest ODI total at home. India's wrist-spinners had an extraordinary home season last year, and if there were any doubts as to their effectiveness overseas, those have been comprehensively dispelled in these first two ODIs. Chahal and Kuldeep combined for a total of eight wickets today on a slightly slow pitch at Centurion, which was to India's liking. That still doesn't explain South Africa's capitulation though. It was all too easy for the visitors from there as they romped home through breezy knocks from Dhawan and Kohli. ",India won by 9 wkts, ODI ,South Africa vs India,3
"Another one-sided affair between the number 1 and number 2 ranked sides. The results show the gulf between the two, might be momentary, but also speaks volumes about the impact of the wrist spinners. Virat Kohli. What do I say? The ton machine refuses to slow down. This is the same South African team, barring a few injuries, which won 17 consecutive ODIs on home soil. The tables have turned drastically. They would be hoping for another spin then, more so in their favour. ",India won by 124 runs, ODI,South Africa vs India,3
"It's a carnage for the ages, the digital ages. The Wanderers, in the pink of its glory refuses to disappoint. Thank the rain, thank the lightning, thank Duckworth-Lewis, thank Chahal and his foot, thank the sloppy fielding, but South Africa have finally found a way to reverse the trend, to reverse the slide. No, don't get fooled by Phehlukwayo's 23 off 5, the game was in their bag much before. Perhaps even during the first lightning break that sucked away all of India's batting momentum. And then when it looked like Miller was getting schooled while batting, Chahal's no ball was just the diploma he needed to pass out. And how.",South Africa won by 5 wkts (DLS method match reduced to 28 overs - target 202), ODI,South Africa vs India,2
"It's the spin web..again. From 166/4 when it looked like Amla was doing an, err, Amla to steer the Proteas home to folding out for 201 - it's been some collapse. But lest we forget Pandya, his nagging seemingly-nothing deliveries and that arm of his. On a ground where India were chasing a ragged record and a smashing in the last game, they've done it just how the pundits prophesise, making big runs, and stealing momentum with their spinners. For all the criticism South Africa are set to face in the times to come, they've pulled off a massive diplomatic coup with the apparent drop-in pitches from India. ",India won by 73 runs, ODI,South Africa vs India,2
"What a pasting for South Africa this. A 5-1 series defeat against India. And who better to seal it off than Virat Kohli. Three hundreds for the Indian captain in the series. He's the only player to score 500 runs in a bilateral series. The target was modest at best today, and he came out and demolished it. Take a good look world cricket. Kohli's not stopping anytime soon.",India won by 8 wkts,  ODI ,South Africa vs India,2
"India's bowlers have been truly humbled today, Yuzvendra Chahal in particular. He lived an absolute nightmare out there, with figures of 4-0-64-0. The punishment he took from Heinrich Klaasen played such a huge part in shaping the outcome of this run-chase. India had started off pretty well initially, with Bhuvneshwar and Thakur stifling the scoring. However, in a bid to get ahead of the DLS par amidst the growing drizzle, the manner in which Klaasen unleashed with his maiden T20I fifty stunned India. They just couldn't recover. Seeing how Chahal was having an off-day, should Kohli have tried someone else? Raina perhaps? We'll never know. But well done to the South Africa batsmen. Their two wins on this limited-overs tour have come when they've played without fear. Maybe there's a trick there.",South Africa won by 6 wkts, T20,South Africa vs India,2
" If not for Jonker's feat on debut, this match was dead a long time ago. India's 172 might have divided opinions at the halfway stage but South Africa soon found that it shouldn't have. They were chasing an above par score on a pitch responsive to cutters and change of pace, something which conspired a dragged 52/2 from the hosts after 10 overs. A punt with Miller at the opening slot backfired, Klaasen didn't quite have this night to himself, and Duminy's 55 could have only taken them so far.",India won by 7 runs, T20,South Africa vs India,5
"So, Kohli's first ton in ODIs against South Africa in South Africa has paved the way for a comfortable win for the Indians. Both the skippers got tons but Faf never had the Man Friday that Kohli had in the form of Rahane. He looked in complete control and sailed through for most of his 79 runs playing seamers and spinners with astute footwork. India have broken South Africa's string of 17 wins in ODIs at home as well. The South African think tank will have to turn it around quickly. How quickly, we will figure out soon. ",India won by 6 wkts, ODI,South Africa vs India,3
"What a special knock we've witnessed from Jason Roy tonight to help England complete their highest successful run-chase in Australia. In fact, this is only the second time that a 300-plus score has been chased in Australia. This wasn't a flat track. It had life in it in terms of pace and bounce - as highlighted by all the wickets which England lost - and to score 180 while chasing is a phenomenal effort. The way he met fire with fire against Starc and Cummins with the new ball, sending it flying everywhere, that was the defining phase. It set Australia back to such an extent that they never could recover. Roy didn't stop there. He made it count and how. He had Root for company as his shadow. You barely noticed him, despite the fine 91 which he made. It was all about Jason Roy. Take a bow!",England won by 5 wkts, ODI,Australia vs England,3
"England have pretty much schooled the hosts in these first two one-dayers. If not for Mitchell Starc's threat, they'd have packed this up so much sooner, which is incredible considering they've won with over five overs to spare. Australia opted to beef up their batting today, thereby sacrificing the spinner on a pitch where the opposition spinners thrived. They then landed in trouble when the batting under-delivered to finish with a well below par score. With a pretty one-dimensional attack up their sleeve, and just the part-time of Head as the spinning option, it was always going to be difficult. Hales and Bairstow's start set England on their way, and then Root hung around to steer the side home like he did at the MCG.",England won by 4 wkts, ODI,Australia vs England,3
"England tried about as hard as a team can try from 8/5, to make a match of it. Woakes's majestic fifty led the recovery to get some sort of a score on the board. He then got Warner reasonably early with the new ball too. Adil Rashid chipped away at the wickets through the middle. But Travis Head, filling in for an injured Finch at the top, was determined to get Australia on the board in this series. The left-hander scored freely, cutting away at the target and should have had a hundred to his name before being unfortunately denied there at the end. It was an excellent toss to win in the morning under overcast skies and on a wicket where the new ball decked around. Cummins and Hazlewood cashed in thoroughly as England capitulated to their worst ever ODI start. They had four top-order batsmen getting ducks. Credit to the visitors for taking it this far. ",Australia won by 3 wkts, ODI,Australia vs England,3
"As flawless as it gets for Bangladesh. Once their bowlers restricted Zimbabwe to 170, the result was virtually sealed. The only way the visitors could have stayed afloat in the game was to pick early wickets and although they got Anamul after his cameo, Tamim and Shakib stitched a fluent partnership to ensure that there would be no alarms. The newly promoted no.3 couldn't see it off till the end but Tamim did so and along with Rahim ensured that the win was achieved with more than 21 overs to spare. Forgettable game for Zimbabwe, only Raza stood up for them in the game, both with the bat and ball while the others didn't even compete. They would need to pick up their game drastically for the rest of the tournament. As for the home side, this is the perfect start.",Bangladesh won by 8 wkts, T20,Bangladesh vs Zimbabwe,2
"An absolutely riveting encounter here at the neutral Shere-Bangla national stadium at Mirpur! After Masakadza gave Zimbabwe a solid start, it was Sikandar Raza who made an aggressive 81* to add the finishing touches to the Zimbabwean innings as they ended up on an above-par 290. The Sri Lankan run-chase started off on a positive note, as Kusal Perera got them off to a flyer. Mathews stabilized the innings after a few quick wickets, but his dismissal brought about a collapse. Thisara Perera gave the Zimbabweans a mighty scare but gifted his wicket to a full-toss, and Zimbabwe held their nerve in the end to do the formalities and clinch a nail-biter of a contest. A thrilling encounter between two evenly matched sides, but the one that held its nerve ended up on triumphant...",Zimbabwe won by 12 runs, T20,Sri Lanka vs Zimbabwe,4
"So, Sri Lanka keep their hopes alive and have joined Zimbabwe with four points. It now boils down to who can beat Bangladesh in their last game or who loses less badly. At 145/5, the Lankans had played themselves into a corner, but Thisara, who has been their lone saving grace so far came up with a fine cameo. Dinesh Chandimal looked less fluent, but fought hard and didn't throw his wicket away. The early damage was done by Kusal Perera (49) and Kusal Mendis (36), but they once again they nearly threw it away - thanks to a three-wicket burst from Blessing Muzarabani. To their credit, Zimbabwe kept fighting along, took the game to as deep as they could, they will be disappointed with their batting effort, but have quite a few plus points over the way they bowled and fielded.",Sri Lanka won by 5 wkts, T20,Sri Lanka vs Zimbabwe,3
"It was never going to be easy, but Zimbabwe made it even more difficult by playing some reckless shots. Masakadza and Mire threw it away, so did Craig Ervine. Sikandar Raza and Peter Moor arrested the slide with a steady partnership, but once that was broken it was one-way traffic. All the Bangladeshi bowlers were among the wickets, Mortaza and Shakib gave them the perfect start - picking four wickets in the first powerplay. The rest then contributed to wrap Zimbabwe for a paltry 125. This is the fourth lowest total that Bangladesh have successfully defended.",Bangladesh won by 91 runs, T20,Bangladesh vs Zimbabwe,4
"Bangladesh have had a shocker today, going down to their heaviest defeat against Sri Lanka in terms of balls left. It was a game where a win would have taken Sri Lanka to the final, and their body language showed how badly they wanted this. Suranga Lakmal set the tone with the ball, with appreciable help from Danushka Gunathilaka who was on fire in the field. Thisara Perera followed it up brilliantly, and then Bangladesh did the rest as they crumbled to 82 - their eighth lowest ODI total. The two Lankan openers had no problems in hammering the target down, thereby finishing it off with around half an hour left for the lunch break. Crazy..",Sri Lanka won by 10 wkts, T20,Bangladesh vs Sri Lanka,4
