text,score,match_type,team,label
Hugs and fist pumps all around from the Afghanistan team. This was a thorough team effort. The bowlers led by Dawlat Zadran kept things very tight and choked Namibia. Wickets came at regular intervals and Aftab Alam struck in quick succession late in the innings to hasten proceedings. ,Afghanistan won by 47 runs,T20,Afghanistan vs Namibia,3
"Crushing win this for Ireland. Namibia were never in the game and the 2nd innings was just a mere formality for the Irish who certainly deserved their place in the mega event set to be held in September. Stirling was very impressive, but it must be said that Namibia's bowling was pedestrian. ",Ireland won by 9 wkts,T20,Ireland vs Namibia,1
"Zadran gave his side a dream start by castling Porterfield 1st ball but Stirling simply took the game away with breath-taking strokeplay. The Irish seemed well on course to canter home, but wickets off successive balls by that man - Zadran again reignited Afghanistan's hopes. But Gary Wilson stayed calm and struck some crucial blows to ensure his side had no trouble at the end.",Ireland won by 5 wkts,T20,Afghanistan vs Ireland,4
"A comprehensive win for the Aussies in the end. Chasing 205 was bit tricky on this slow and low pitch, But the Australian bowlers bowled a tight line and made life tougher for WI. After losing 3 early wickets Samuels and Dwayne Bravo put together an important stand of 64 for the 4th wicket, but Christian provided the much needed breathrough by removing Bravo and rest of the batsmen soon followed him by playing some loose shots. Sammy showed some fight towards the end, but he had ran out of partners and he was the last batsman to get out.",Australia won by 64 runs,ODI,Windies vs Australia,4
"This is West Indies' first win against Australia since the champions trophy game in India in 2006. A moment to remember indeed. It has been an absolute team effort. The bowlers did a great job to restrict the Aussies, and the batsmen backed it up with a good show. Powell fell early and the top order got starts. They lost a few wickets in the middle but Dwayne Bravo and Pollard put on a 64 run stand for the 5th wicket to seal the game. Bravo fell towards the end, but Pollard and Baugh finished the game.",WI won by 5 wkts,ODI,Windies vs Australia,4
"Phew! My fingers are taking a pounding here. What a match. This has been nothing short of a classic. Every over had twists, drama and brilliance. The top order collapsed in the phase of some disciplined bowling by Watson and Doherty. However, Baugh and Russell shared a 64 run stand to keep the Windies in the hunt. However, they lost wickets towards the end as the pressure mounted. Naraine stuck some lusty blows but in the end, a brain explosion resulted in the match being tied.",Match tied,ODI,Windies vs Australia,5
"So Australia have finally shown some dominance on this tour. They were a bit too loose in the ODI series, but thanks to Watson and Hussey, their batting has come into their own. Warner departed in the first over, but both the aforementioned batsmen played the big shots with ease to bring down the required run rate. Narine was the pick of the bowlers as he went for just 21 runs in 4 overs, but could not pick any wickets. Overall a bullying win for Australia",Australia won by 8 wkts,T20,Windies vs Australia,2
"Fidel Edwards sent back Watson early but Warner kept them in the game with a blazing fifty. However, some brilliant fielding from Dwayne Bravo resulted in Warner being run-out and West Indies came back in the game. Marlon Samuels and Fidel bowled a wonderful 18th and 19th over as they took wickets and gave away few runs. In the end, the West Indies held their nerve as they clinched the match by 14 runs to level the series 1-1. ",West Indies won by 14 runs,T20,Windies vs Australia,4
"Today's match saw fireworks from the South African batsmen and just when the Indian batsmen, especially Gambhir, were beginning to display theirs, rain dampened them out. Ontong played a blinder at the end to boost the score above the 200 mark. During India's chase, Gambhir playing some sublime strokes to help India stay on par even as Uthappa, at the other end, struggled to time the ball well. Although the required rate was high, India were looking set to get close to it. Unfortunately, rain had the final laugh, and it meant that South Africa won the game. They haven't had much luck with the Duckworth and Lewis in the past, but today it went their way.",South Africa won by 11 runs (D/L method),T20,South Africa vs India,3
"A clinical performance from England today has helped them rout WI by a comfortable margin. Chasing 288 was tough and West Indies needed one batsman to score big, but that didn't happen even though Smith started off aggressively and got to a quickfire fifty. None of the other batsmen supported him well and rain arrived to stop the game. Upon resumption, Samuels started off well with some big hits, but they soon lost wickets in a heap and folded up cheaply. Darren Bravo also came down the order because of a groin injury and that didn't help their cause. England go one up in this 3-match series.",England won by 114 runs (D/L method),ODI,England vs Windies,2
"West Indies never seemed to be in the game, even when Dwayne Bravo, Keiron Pollard and Darren Sammy scored some quick runs in their batting powerplay. It was England throughout the day starting with some splendid swing bowling by Anderson, Finn and Broad and ending with some clinical one day batting by Cook, Bell and Trott. The target could have been tricky if they had lost a few early wickets, but Bell and Cook did not give even half chances for the visitors to grab. Cook played a few eye-catching and aggressive strokes and scored his 5th ODI ton. Narine failed to inspire once again and the rest of the bowlers, save for Best, looked flat throughout the day. ",England won by 8 wkts,ODI,England vs Windies,2
"A high scoring game and England emerge winners once again. 173 was a stiff target but Bopara and Hales made it look too easy. They ran hard, converted singles into doubles and kept finding the boundary regularly. Hales deserved a century but fell agonisingly short by just 1 run, but did enough to ensure a win for England.",England won by 7 wkts,T20,England vs Windies,5
This is now the lowest T20 total in Sri Lanka. The hosts have really fought very well to defend what looked to be a modest total. Pakistan's batting was all over the place and none of the batsmen looked very comfortable against the short delivery. Kulasekara gave his side the perfect start by taking two wickets off the first two balls of the chase. Ahmed Shehzad finished up as the highest scorer amongst both teams but his innings of 36 came at a snail's pace and lasted 42 balls. Yet again Pakistan have bowled well but haven't finished up on top owing to some poor shot selection. Some credit obviously has to be given to Sri Lanka for their bowling and sharpness in the field.,Sri Lanka won by 37 runs,T20,Sri Lanka vs Pakistan,5
"The first leg of the tour ends at 1-1. Some positives for both teams though the batting will be a cause of concern for either team's management. The bowling was superb by either sides with Sami joining the party with some outstanding pace. Afridi has to be the story of the day, he came in with Pakistan struggling. His fifty propelled the visitors to a fighting total which was a bridge too far for the visitors on a difficult track.",Pakistan won by 23 runs,T20,Sri Lanka vs Pakistan,5
"A clinical performance has helped Pakistan win this match by 6 wickets. Chasing a low total, they lost Azhar Ali and Younis early, but Hafeez and Misbah held the innings together with a fifty plus stand, which was instrumental in their win today. With this win, Pakistan have now won 9 of their past 11 ODIs against Sri Lanka. This match also will be remembered as one of the longest matches played as it was interrupted thrice by rain today and not many overs were reduced. Sri Lanka's batting let them down and they will hope to put up a much better performance in the next ODI.",Pakistan won by 6 wickets (D/L method),ODI,Sri Lanka vs Pakistan,5
"Convincing and clinical showing by Sri Lanka. After the mediocre performance in the first ODI, the batsmen came back well to put on a score of 280. Dilshan batted really well, carrying his bat through and in the process scored a hundred. Pakistan looked to be in the game when Misbah and Azhar Ali were batting in the middle, but once the skipper fell, the other batsmen followed him back to the pavilion. After Umar Akmal had to return back thanks to a horrendous decision, the onus was on Afridi to take his side home. But a brilliant catch from Sangakkara sent him back for just 17 and the game pretty much ended then and there. ",Sri Lanka won by 76 runs,ODI,Sri Lanka vs Pakistan,5
"What a game this has been. Indeed it has been a great exhibition for the 50 over game. Pakistan, for the second time in the series, were coasting along in the middle overs. Like in the 2nd ODI, it was the skipper Misbah and Azhar Ali who were anchoring the chase. But unfortunately for them, the batting powerplay turned out to be a nightmare as they lost Misbah and then Umar Akmal during that passage of play. It only went from bad to worse as Thissara Perera proceeded to pick a hat-trick in the 41st over and Pakistan collapsed from 166/2 to 199 all out. Perera once again shone through with 4 wickets, but you have got to hand it to Mahela's intuitive captaincy. He kept the pressure on the visitors despite a 113 run 3rd wicket stand. Azhar Ali once again was the lone ranger and carried his bat through, scoring an unbeaten and defiant 81 in the process.",Sri Lanka won by 44 runs,ODI,Sri Lanka vs Pakistan,5
Sri Lanka stuttered in their chase early as they lost their openers without doing much damage. Then Sanga and Chandimal stitched a partnership and they found it hard to negotiate the spinners in the middle overs. Misbah lost the plot before the toss only when he left out Ajmal and got in Sami in his place. This pitch was conducive for spin bowling and they were one spinner short. They were also pretty ordinary in the field and too many runs were conceded as a result of which Sri Lankans got away when they needed runs. Mathews played an innings of substance as he single-handedly took his team through even though he lost partners at the other end. Sami's figures are the most expensive by a Pakistani in Sri Lanka.,Sri Lanka won by 2 wkts,ODI,Sri Lanka vs Pakistan,5
It has been a commanding performance from South Africa. Ashraful played some good strokes but he played a loose shot and was dismissed. The middle order failed to put up much of a fight. Mahmudullah and Rahim sparkled towards the end. Rahim capitalized on some bad bowling from Wayne Parnell as he scored a fifty. The South Africans were a bit off the boil in the final overs and they will look to overcome that.,South Africa won by 39 runs,T20,Bangladesh vs South Africa,5
"What a performance by Zimbabwe. Mpofu bowled wonderfully at the start. He cleverly mixed his pace and the South African batsmen found the going tough. Cremer then flummoxed the Proteas with his leg breaks and googly. Colin Ingram put up a bit of a fight after surviving a dropped chance on 0. However, in the end, it was a bridge too far for South Africa and they have suffered defeat by 29 runs.",Zimbabwe won by 29 runs,T20,Zimbabwe vs South Africa,5
"An easy win in the end for the Proteas and they take on Zimbabwe again tomorrow in the finals. They looked a better unit today and their fielding and bowling was much better than the previous matches. Parnell was the the pick of the bowlers, taking 3 for 16 from his 4 overs and that was the difference between the two sides today. SA had to chase down the target in 15 overs to knock Zimbabwe out of the tournament, but ZIM spinners bowled some tight overs in the middle to make sure they reach the finals.",South Africa won by 6 wkts,T20,Zimbabwe vs South Africa,5
"Excellent win for the hosts, truly deserving. Taylor led the way with a captain's knock, he was all class today, wonder why he is never considered for a contract in any T20 franchises across the world? That is for later though, Masakadza was scratchy but did well to stay and aid his skipper. Good practise ahead of the T20 WC for them. Gary Kirsten and Allan Donald will have some work, SA did miss some of their stars but their efforts were patchy in this tournament.",Zimbabwe won by 9 wkts,T20,Zimbabwe vs South Africa,3
"An easy win in the end for England. They bowled well as a unit and successfully defended the total. After they were put in by Australia, they got off to a solid start, but lost quick wickets in the middle. Morgan took the centre stage thereafter and played an incredible innings to help England to a decent total. Australia lost Watson cheaply, but Warner and Bailey stitched together a solid partnership. They lost both set batsmen quickly and only Clarke showed some character in the middle, with the other batsmen failing to make any valuable contribution. Wade was playing well for his 27, but a terrible mix-up in the middle cut short his innings and that was the last nail in the coffin for Australia.",England won by 15 runs,ODI,England vs Australia,4
"Once again, England have outplayed Australia in all departments. Bell looked in wonderful touch as he stroked his 21st ODI fifty. Clint McKay bowled with a lot of heart but he found no support from the other bowlers. Ravi Bopara scored his first ever half-century against Australia and along with Morgan, he helped England go 2-0 up in the series.",England won by 6 wkts,ODI,England vs Australia,3
"Yet another convincing victory for the hosts. The bowlers set it up by restricting Australia in the first half and the batsmen made the chase look easy. Bell and Trott got half centuries and Bopara contributed too. Australia were never in the game, and to make it worse, suffered a couple of injury blows too (Watson and Lee). ",England won by 8 wkts,ODI,England vs Australia,2
"West Indies have outclassed New Zealand in all departments. 210 was always going to be a difficult target on a pitch that got slower. Nicol tried to be aggressive but he had no support from the other batsmen. Narine had another impressive match. Taylor retired hurt on 10 to give New Zealand more anxious moments. Oram provided a flourish towards the end but in the end, it was a bridge too far for the Kiwis as they lost the match by 56 runs.",West Indies won by 56 runs, T20,Windies vs New Zealand,3
"Clinical performance by West Indies. This has been a comprehensive win for them. New Zealand were never in the game after Narine rattled them early on. Badree, Samuels and Bravo did their bit too. It was a complete team performance and this side looks the team to beat. New Zealand looked down and out from the first ball and they will have to ask some really tough questions.",West Indies won by 61 runs, T20,Windies vs New Zealand,2
"It has been an efficient performance from the West Indies. Gayle and Dwayne Smith carted the New Zealand bowlers to all parts of the ground as their partnership propelled West Indies along. At one point, one felt that the match could be abandoned due to rain but luckily it blew away. The Kiwi bowlers lacked intensity and failed to create pressure.",WI won by 9 wkts (D/L method), ODI,Windies vs New Zealand,2
"West Indies have completed a comprehensive victory. After setting a huge total, the pressure was always on the Kiwis. Guptill started things off on a positive note by getting to his half century but couldn't convert it into a big innings. New Zealand always needed someone to play right through the match and strike at a good rate, however, they were always left wanting. Williamson and Watling also got half centuries but the lack of support and the lack of quick runs found New Zealand short of the target. West Indies now enjoy a 2-0 lead in this five match series.",West Indies won by 55 runs, ODI,Windies vs New Zealand,3
Not a lot of people would have placed their money on a 88 run victory for New Zealand at the start of the game. They had had a very poor tour so far and were showing very little signs of any improvement but somehow everything clicked for them in this game. Nathan McCullum scored a gutsy fifty to prop up the NZ innings early on. The bowlers seemed buoyed by the effort and put in a clinical performance to shoot West Indies out for their lowest ever total at St. Kitts.,New Zealand won by 88 runs, ODI,Windies vs New Zealand,4
"Tino Best and Sunil Narine were the absolute stars in the bowling line-up. The NZ batsmen had no clue against Narine while Best troubled them with his hostile pace and bounce. Ross Taylor played a fantastic knock and scored his 6th ODI century. However, there was no support from the other end and in the end New Zealand succumbed to a 24 run defeat. ",West Indies won by 24 runs, ODI,Windies vs New Zealand,3
"Wild celebrations in the Windies camp and they thoroughly deserve it. This is a much better outfit as they were bolstered by the comeback of Gayle. Narine was the wrecker-in-chief in this match, taking his first 5-wicket haul in ODIs, but all through the series he bamboozled the Kiwi batsmen as they struggled to score runs against him. On the other hand, Kiwis have a lot of thinking to do as they were hampered by the injuries and their in-experienced middle order was exposed against a strong WI attack. Only Taylor and Williamson played well, but they didn't get much support from the other end.",West Indies won by 20 runs, ODI,Windies vs New Zealand,4
"That ends this tie, and Scotland were the better side in all departments. The Scots had to chase a low total and they decided to play aggressively in order to do so. It was MacLeod who held the innings together and led his side to a big win. Canada's bowlers and fielders looked quite jaded for most parts of the match, perhaps they couldn't get over the fact that they were actually finally playing a game.",Scotland won by 4 wkts,ODI,Scotland vs Canada,3
"After putting on a small total on board, the Scots needed to do bowl really well to win the game. But they were blown away by Nowroz Mangal. The opener started off silently, but launched a vicious assault to go from 66 to 101 in the space of 9 balls which left the bowlers and fielders surprised and shocked. This is a big win for the Asian side and one that will give them a lot of confidence.",Afghanistan won by 7 wkts,ODI,Afghanistan vs Scotland,3
"Easy win for Afghanistan in the end. The lack of bowling discipline from the Scots cost them in the end. Mohammad Shahzad got the right start for the Afghans with a blazing 48 while Nabi made sure that there were no hiccups towards the end with a sparkling fifty. Kyle Coetzer's fine 133 went in vain, his 1st century at this level.",Afghanistan won by 5 wkts,ODI,Afghanistan vs Scotlands,3
"Finally Scotland held their nerve to prevail in a close match. The match went into the reserve day as most part of yesterday was washed out due to rain. The play was interrupted again due to rain today and in the end, Scotland who were ahead according to D/L method had to get around 33 runs in less than 7 overs to gain crucial 2 points.",Scotland won by 4 wickets (D/L method),ODI,Scotland vs Kenya,2
"Emphatic win by the Irish here! They are just one win away from qualifying for the ICC World Cup 2015. After putting up a decent total batting first, they came on to put up a brilliant bowling show. The star of today's game was Kevin O'Brien, who had earlier chipped in with a wonderful cameo of 32 to accelerate the run-rate. He then came on to put up his best bowling performance picking up 4 important wickets. In the end, the Dutch could not hold on and crumbled against the Irish pace.",Ireland won by 88 runs,ODI,Netherlands vs Ireland,3
This is the first time that a game is tied in the ICC World Cricket League Championship. Netherlands should have won it easily after being well set at one stage. They played a little slowly as the innings neared its death. But credit to the Ireland bowlers for making life difficult for the batsmen. It was down to 13 runs required off the last over. John Mooney was given to duties and he started off in grand fashion conceding just 2 runs in the first four balls. But Rippon held his nerve and managed to stun the Irish by his lusty hits in the last two balls.,Match tied,ODI,Netherlands vs Ireland,5
"What a spell by Mahmudullah! He completely changed the equation in favor of Bangladesh. He gave just 4 runs in the 18th over and followed it up with a brilliant final over to help Bangladesh clinch the series. Ireland kept the required rate under check for most parts of the chase but couldn't quite finish it off. Stirling, Joyce and Wilson got starts but at least one of them should have carried on and seen them through.",Bangladesh won by 1 run, T20,Ireland vs Bangladesh,5
"Superb show from Bangladesh. They seemed to be down and out at one stage, but fought back superbly. Mashrafe was the man. He followed up his 4 wickets with some blistering blows to seal the isue.",Bangladesh won by 2 wkts, T20,Ireland vs Bangladesh,4
"A comfortable win in the end for the Proteas and they go one up in the series and dethrone England to claim the no.1 spot in ODIs also. They were in the driver's seat after they posted a huge total on the board and that was mainly to a master piece innings of 150 by the modern day run machine Amla. The pitch was always expected to take turn under the lights and even the part time SA spinners got vicious turn and English batsmen had no answer to that and lost wickets in a heap. Only Morgan fought a hard battle, but he didn't get any support from the other end. Samit entertained the crowds with a stroke-filled 45, but that was not enough for them to get anywhere close to the SA total.",South Africa won by 80 runs, ODI,England vs South Africa,3
"England have sealed a much-needed win. Jonathan Trott and Eoin Morgan stroked some wonderful fifties to guide England along. Despite some good bowling from Peterson and Parnell, the target of 212 was never going to be daunting.",England won by 4 wkts, ODI,England vs South Africa,3
"Storming finish by England and they retain the No.1 rank irrespective of the next match. South Africa were always playing the second fiddle after losing the toss, they pottered around to 220. The bowling barring Steyn was lacklustre. Bell played the anchor with an attractive 88 while Trott, Morgan and Kieswetter chipped in with useful scores.",England won by 6 wkts, ODI,England vs South Africa,2
England got a few early wickets but they could not break this unbeaten 90 run stand. Kallis and Duminy played very well while the England bowlers struggled. Dernbach and Finn were the pick of the bowlers but no one else supported them.,South Africa won by 7 wkts, T20,England vs South Africa,3
"A convincing win for the T20 champions and they go into the T20 World Cup with lot of confidence. They were sent into bat after the match was reduced to 11 overs due to rain. They didn't get off to a electrifying start, but the penultimate over from Parnell changed the course of the game as Buttler plundered 30 runs. Chasing on this pitch under the lights was always going to be difficult. Swann and Briggs got the ball to turn viciously and the Proteas never got going. Even their run machine Amla couldn't get the odd boundaries regularly. The three match series is drawn 1-1 after the second match was washed out due to rain. But overall a poor performance from the Proteas in this series",England won by 28 runs, T20,England vs South Africa,2
"Phew! India made a meal of this in the final overs. Sangakkara played a solid knock and Thisara chipped in with a wonderful cameo. But, in the end, the asking rate was too much and Sri Lanka were always behind the eight ball. Malinga got some batting practice towards the end. Barring Irfan Pathan and Ashwin who bowled well, all the other Indian bowlers were carted around. The Indian fielding was also very sloppy and they have a lot of work to do ahead of the second ODI.",India won by 21 runs, ODI,Sri Lanka vs India,3
"That seals a comprehensive win for Sri Lanka. They have absolutley demolished India in this game and have come back in a very strong manner. After skittling India out for a low score, the Lankans made merry with the bat and piled on the pressure right from the start. Dilshan played his natural game by going after the bowling while Tharanga displayed some immaculate timing. Both batsmen got to their half centuries and Tharanga held fort until the end to see his side through to victory.",Sri Lanka won by 9 wkts, ODI,Sri Lanka vs India,3
"That seals India's 400th ODI victory and it gives them an unassailable 3-1 series lead. Virat Kohli and Raina played magnificently to take India home. Sri Lanka started off very well by dismissing Gambhir early and left India struggling at 60 for 3. Manoj Tiwary and Kohli then put on a partnership of 49, before Jeevan Mendis got a brave lbw decision in his favour to dismiss Tiwary. It was Raina then who partnered Kohli till the end and kept his composure. Credit this time though has to go to Kohli, who stuck at it right through the innings and piled on yet another century against Sri Lanka. Once he and Raina had settled in, they simply tore through the bowling line up. Eventually India cruised through to 6 wicket victory.",India won by 6 wkts, ODI,Sri Lanka vs India,3
"Historic moment this for Scotland. This is their first victory against a Test playing nation. The Scotland bowlers kept things tight. Haq and Davey picked up three wickets and none of the Bangladesh batsmen got going. This is a deserved victory for Scotland and for Bangladesh, they have come crashing down to earth with a bang after clean-sweeping Ireland.",Scotland won by 34 runs,T20,Bangladesh vs Scotland,3
"What a way to finish the game and what a way to come back after their loss to Scotland. Bangladesh will feel that they have finally redeemed themselves. They were always on top of their opponents in the chase. Tamim Iqbal played aggressively right from the start and never really let the bowlers settle down. Shakib got out a little early and for a moment the Dutch would have felt that they could stage a come back but those hopes were washed away by a sparkling cameo from Rahim. At the end of the day, there was a clear difference in the quality of the two sides and that resulted in Bangladesh running away with the game.",Bangladesh won by 8 wkts, T20,Netherlands vs Bangladesh,2
"Netherlands level the series 1-1. Bangladesh will look back at their batting collapse. They recovered to post 128 but that didn't prove to be enough. Netherlands struggled to get partnerships but Swart stayed on and almost took them home. He fell towards the end but the tail kept their nerves, and Ahsan Malik finished the game with a last ball boundary. Netherlands will never forget this game of cricket - a thrilling and much deserved win for them.",Netherlands won by 1 wkt, T20,Netherlands vs Bangladesh,5
MS Dhoni will come in for much criticism. 22 at less than run a ball has cost India but enough credit should be given to the Kiwi bowlers. The cutters worked very well as the ball got older and the big hits just failed to come off. Yuvraj Singh managed a good show in his much awaited comeback but he will be a very disappointed man after failing to take India through. Virat Kohli was outstanding too and India were in complete control with him out in the middle. The win coming from behind will be a huge boost for the tourists. They clinch the series too with that.,New Zealand won by 1 run, T20,India vs New Zealand,5
"Professional performance from Australia. They took their time while batting before exploding in the end to get 272. The reply from AFG was entertaining. Stanikzai showed good application in making a career best 66, Nabi chipped in with 46 and the tail swung around merrily to take Afghanistan beyond 200. They will have learnt quite a lot from today's match, they were beaten but certainly not disgraced.",Australia won by 66 runs,ODI,Afghanistan vs Australia,2
"Oh boy, Australia had to fight every inch of their way to get to this target. The spinners maintained the pressure throughout as Australia found the going tough. Saeed Ajmal, in particular, confounded the Australians with his doosra. However, Michael Clarke and George Bailey showed admirable composure by striking solid fifties as they guided Australia to a four wicket win. ",Australia won by 4 wkts, ODI ,Pakistan vs Australia,3
"Comprehensive win from Pakistan. They were lucky to lose the toss, their spinners enjoyed bowling on a slow and low track. Chasing 249, Hafeez and Jamshed got them off to a breezy start. Jamshed's innings was the cornerstone, he played some scintillating strokes before the heat took a toll on him. Azhar Ali and Misbah then made sure that the win was achieved without any more fuss. ",Pakistan won by 7 wkts, ODI,Pakistan vs Australia,2
"Good chase from Australia. The openers started positively, the middle order stuttered in the face of some magic from Ajmal before Mike Hussey took over. He was lucky when Pakistan failed to review an LBW appeal on 0, added some vital runs with Wade to settle the nerves before Maxwell took over to seal the win. He finished the match in some style and also completed his maiden ODI fifty.",Australia won by 3 wkts,ODI,Pakistan vs Australia,2
"Australia didn't even compete. They were bowled out for their second lowest score in T20Is and were never in a position to challenge Pakistan after that. Hafeez, Imran Nazir and Kamran Akmal enjoyed some batting practice and Pakistan finished the match with 31 balls to spare. They will be happy with Kamran Akmal's contribution in particular; he looked aggressive and confident and helped himself to some runs as well. The lesser said about Australia the better. This is their biggest loss in terms of balls to spare.",Pakistan won by 7 wkts,T20,Pakistan vs Australia,2
"Oh boy, that concludes what has been a fantastic match. This is probably where experience counts. Gul bowled a fantastic over while Cummins showed his inexperience and sprayed it all over the place. Umar Akmal and Razzaq held their cool and scored the required 12 runs to clinch the series 2-0. This is the sixth tied match in T20Is.",Match tied (Pakistan won the one-over eliminator),T20,Pakistan vs Australia,5
"A comprehensive performance by the Aussies. Though the scorecard for the series will say 2-1, this win is likely to keep them in really high spirits. The openers Watson and Warner clicked big time and showed Dubai and those watching on TV, what destruction they could cause. Later, Starc and Cummins, with their pace and swing, literally ran through the top order and reminded Pakistan's fans just how unpredictable their side could be. Just three Pakistani batsmen crossed into double figures and none of the three scored at faster than a run a ball. In one word, Australia's performance today can be termed as 'Dominating'.",Australia won by 94 runs,T20,Pakistan vs Australia,2
This match will be remembered for the performance of both Ajantha and Jeevan Mendis. The Zimbabwe batsmen failed to negotiate these two and they capitulated tamely. Ajantha Mendis now has the best haul in T20 cricket with match figures of 4-2-8-6. Jeevan Mendis continued his wonderful match as he snapped up three wickets.,Sri Lanka won by 82 runs,T20,Sri Lanka vs Zimbabwe,3
Watson made all the difference for the Australians as they got off to a flying start and raced along to 60 in seven overs. Dockrell sent back Warner but Watson powered his way to an aggressive fifty. Australia lost a couple of wickets towards the end but White steadied the ship and helped them seal victory by 7 wickets.,Australia won by 7 wkts,T20,Australia vs Ireland,2
"The scorecard says won by 23 runs but there were a few nervous moments for India. The catching was the difference in the end. Afghanistan dropped 4 catches, while India took everything that came their way. Shahzad, Mangal and Sadiq got off to starts but none could convert it. Balaji gave the first breakthrough and that was followed by a triple strike from Yuvraj, which plucked the life out of the Afghan challenge. Mohammad Nabi fought down the order with a 17 ball 31, but when he fell to Ashwin, the game was well and truly India's.",India won by 23 runs,T20,India vs Afghanistan,2
South Africa were never going to be troubled by this paltry score. Levi and Amla ensured that they reached the target without any hiccups. Levi got to his first T20I fifty (to go along with a century) as Zimbabwe suffered their 14th consecutive loss in T20Is. This is also the second instance where a team has won by 10 wickets in all editions of this tournament.*,South Africa won by 10 wkts,T20,South Africa vs Zimbabwe,4
Bangladesh have now lost nine consecutive T20Is in all editions of this tournament. They were never in the contest once Tamim and Shakib departed cheaply. Nasir Hossain hung in there and scored a gritty fifty but he did not get support. Most of the NZ bowlers chipped in and helped the team achieve victory by 59 runs. ,New Zealand won by 59 runs,T20,Bangladesh vs New Zealand,2
